"draft_projection","player_name","cluster_label"
1,"Cooper Flagg","Perimeter Engine"
2,"Dylan Harper","Perimeter Anchor"
3,"VJ Edgecombe","Perimeter Anchor"
4,"Ace Bailey","Versatile Connector"
5,"Khaman Maluach","Interior Connector"
6,"Collin Murray-Boyles","Versatile Finisher"
7,"Kon Knueppel","Perimeter Finisher"
8,"Tre Johnson","Perimeter Finisher"
9,"Derik Queen","Versatile Connector"
10,"Jeremiah Fears","Perimeter Anchor"
11,"Kasparas Jakucionis","Perimeter Anchor"
13,"Jase Richardson","Perimeter Finisher"
15,"Thomas Sorber","Perimeter Finisher"
18,"Asa Newell","Versatile Finisher"
19,"Carter Bryant","Versatile Connector"
20,"Nique Clifford","Perimeter Engine"
21,"Rasheer Fleming","Versatile Connector"
22,"Egor Demin","Perimeter Anchor"
23,"Will Riley","Perimeter Finisher"
24,"Liam McNeeley","Versatile Connector"
25,"Labaron Philon","Perimeter Anchor"
26,"Yaxel Lendeborg","Versatile Finisher"
27,"Kam Jones","Perimeter Anchor"
28,"Walter Clayton Jr.","Perimeter Anchor"
29,"Danny Wolf","Versatile Connector"
30,"Adou Thiero","Versatile Connector"
31,"Tahaad Pettiford","Perimeter Anchor"
32,"Miles Byrd","Perimeter Anchor"
33,"Ryan Kalkbrenner","Interior Connector"
34,"Thomas Haugh","Versatile Connector"
35,"Johni Broome","Interior Connector"
36,"Alex Karaban","Perimeter Finisher"
37,"Isaiah Evans","Perimeter Finisher"
38,"Maxime Raynaud","Versatile Finisher"
39,"Tyrese Proctor","Perimeter Finisher"
40,"Alex Condon","Versatile Connector"
41,"Boogie Fland","Perimeter Anchor"
42,"Milos Uzan","Perimeter Anchor"
43,"Chaz Lanier","Perimeter Finisher"
44,"Jamir Watkins","Versatile Connector"
45,"Cedric Coward","Perimeter Finisher"
46,"RJ Luis Jr.","Versatile Connector"
47,"Darrion Williams","Perimeter Finisher"
48,"Yanic Konan Niederhauser","Interior Connector"
49,"Micah Peavy","Perimeter Anchor"
50,"Sion James","Versatile Connector"
51,"Javon Small","Perimeter Anchor"
52,"Koby Brea","Perimeter Finisher"
53,"Amari Williams","Interior Connector"
54,"Drake Powell","Versatile Connector"
55,"Karter Knox","Versatile Connector"
56,"Payton Sandfort","Perimeter Finisher"
57,"Alijah Martin","Perimeter Finisher"
58,"Max Shulga","Perimeter Anchor"
59,"Kobe Sanders","Perimeter Finisher"
60,"Hunter Sallis","Perimeter Finisher"
61,"Otega Oweh","Versatile Connector"
62,"John Tonje","Perimeter Finisher"
63,"Ryan Nembhard","Perimeter Anchor"
64,"Eric Dixon","Perimeter Finisher"
65,"Brice Williams","Perimeter Finisher"
66,"Mark Sears","Perimeter Anchor"
67,"Vladislav Goldin","Interior Connector"
68,"Grant Nelson","Interior Connector"
69,"Jalon Moore","Versatile Connector"
70,"Jacksen Moni","Perimeter Finisher"
71,"Mackenzie Mgbako","Versatile Connector"
72,"Viktor Lakhin","Interior Connector"
