player_name,height_in,weight_lbs,school_conf,col_fg,col_fga,col_2p,col_2pa,col_3p,col_3pa,col_ft,col_fta,col_trb,col_ast,col_stl,col_blk,col_tov,col_pf,col_pts,col_fgp,col_2pp,col_3pp,col_ftp,col_tsp,col_efgp,col_ws/40,col_obpm,col_dbpm,col_bpm,col_per,col_orbp,col_drbp,col_trbp,col_astp,col_stlp,col_blkp,col_tovp,col_usgp
Doug McDermott,78,225,Big East,10,18.2,7.6,12.9,2.4,5.2,5.2,6.3,9.5,1.7,0.3,0.1,2.8,2.3,27.6,0.55,0.587,0.458,0.831,0.652,0.616,0.235,9.1,-0.7,8.4,30.2,8.2,20.6,14.8,10.4,0.5,0.3,11.7,32.3
Stephen Curry,74,185,Atlantic 10,10.3,22,5.4,10.2,4.9,11.9,5.7,6.5,5.6,4.6,2.6,0.3,3.7,3,31.1,0.467,0.53,0.412,0.876,0.62,0.578,0.322,,,,,,,6.9,40.2,,0.6,12.9,38.3
Buddy Hield,76,220,SEC,7.5,16.7,4.2,8.2,3.3,8.6,3.6,4.3,6.3,2.4,1.6,0.4,2.7,2.5,21.9,0.448,0.508,0.39,0.836,0.584,0.548,0.177,7,2.4,9.4,22.4,5.6,11.6,8.7,12.9,2.3,0.9,12.7,26.6
Trayce Jackson-Davis,81,245,Big 10,8.3,14.7,8.3,14.7,0,0,5.4,8.1,11.2,2.6,0.9,2.6,2.4,2.4,22,0.565,0.566,0,0.676,0.596,0.565,0.23,7.8,3.9,11.7,29.7,10.2,21.6,16.1,14.9,1.3,7.5,11.3,26.9
Georges Niang,79,230,Big 12,8.3,16.5,6.4,11.6,1.8,4.9,3.3,4.4,6.9,4.1,0.9,0.7,3.1,4.1,21.7,0.5,0.553,0.375,0.763,0.583,0.556,0.16,4.9,1.5,6.4,21.5,4.6,14.6,9.8,20,1.3,1.6,14.3,26.9
Sam Merrill,76,205,MWC,6.6,14,3.6,7,2.9,7,4.1,4.6,4.4,4.4,1.2,0.2,1.9,2.9,20.2,0.47,0.52,0.42,0.891,0.624,0.575,0.206,5.4,1.6,7,22.1,1.1,11,6.2,22.2,1.7,0.7,10.6,22.8
Mike Muscala,82,240,Patriot League,7.6,15.1,7.4,14.4,0.2,0.7,6,7.3,11.5,2.2,0.6,2.8,2.3,3.3,21.3,0.501,0.51,0.313,0.819,0.574,0.508,0.241,6.3,2.6,8.9,29.5,10.1,24.9,17.8,13.7,0.9,7.9,10.9,28.4
Grayson Allen,76,198,ACC,6.1,14.2,3.2,6.5,2.9,7.7,5,6,4.5,4.4,1.5,0.1,2.4,3,20.1,0.43,0.49,0.38,0.834,0.591,0.533,0.189,5.9,2.2,8.1,21.4,2.3,10.1,6.4,19.6,2.1,0.3,12.4,24.1
Payton Pritchard,73,195,Big 10,5.4,12.4,3,6.1,2.4,6.3,2.8,3.5,4.5,5.4,1.7,0.1,2.4,2.6,16,0.437,0.495,0.379,0.8,0.569,0.533,0.171,4.2,2.5,6.7,19.3,2.4,10.8,6.7,25.9,2.6,0.2,14.6,21.2
Damian Lillard,74,195,Big Sky,6.9,15.6,4,8.1,2.9,7.5,6.2,7.1,5.3,4.3,1.5,0.2,2.9,2.6,23,0.446,0.497,0.39,0.867,0.606,0.54,0.209,8.5,0.7,9.2,29.3,1.7,14.2,8.1,24.3,2.3,0.6,13.4,28.6
Josh Hart,76,215,Big East,6.6,13,4.6,7.8,2,5.2,3.5,4.9,7.9,2.6,1.6,0.4,1.9,3.2,18.8,0.511,0.592,0.389,0.72,0.614,0.589,0.224,6.4,3.4,9.8,23.7,7.8,15.6,12,13.3,2.4,1.2,11,22.7
Malcolm Brogdon,76,229,ACC,5.8,13.5,4,8.6,1.8,4.9,4.1,4.6,5.4,3.2,1.1,0.3,2,2.4,17.4,0.43,0.466,0.365,0.876,0.556,0.496,0.196,4.8,3.8,8.6,20.6,2.6,14.3,8.7,17.7,1.9,0.9,11.3,25.3
Jaime Jaquez Jr.,78,225,Big 10,6.4,13.5,5.3,10.1,1.1,3.4,3.2,4.3,8,2.5,1.7,0.6,1.9,2.6,17.1,0.475,0.524,0.328,0.737,0.55,0.516,0.183,5.2,3.2,8.4,21.6,7.4,16.6,12,12.5,2.5,1.9,10.9,22.5
Desmond Bane,77,215,Big 12,6.2,12.4,3.8,7.1,2.3,5.4,2,2.5,6.2,3.1,1.2,0.5,2.1,2.9,16.7,0.495,0.542,0.433,0.804,0.611,0.589,0.157,4.8,2.3,7.1,19.2,3.8,14.3,9.1,16.1,1.8,1.4,13.1,19.9
Kemba Walker,72,184,Big East,6.3,14.8,5,10.6,1.4,4.2,5.5,7,5.4,5,2,0.3,2.8,1.9,19.6,0.428,0.469,0.326,0.783,0.539,0.475,0.196,9.2,3.9,13.1,25.7,3.5,10.6,7.3,26.6,3.2,0.7,13.5,26.2
Jevon Carter,73,200,Big 12,5.5,13.4,3.2,7.1,2.2,6.3,3.2,4,5,5.2,3.1,0.3,2.5,3.3,16.4,0.407,0.453,0.355,0.798,0.534,0.491,0.184,4.7,5.1,9.9,19.9,3.2,11.7,7.1,24.3,4.4,1,13.8,21
Klay Thompson,77,220,Big 10,7.1,16.8,4.2,9.4,2.9,7.4,3.8,4.5,5.6,3.1,1.5,0.9,3.4,2.9,20.9,0.424,0.45,0.39,0.827,0.55,0.509,0.159,6.8,3,9.8,23.6,3.3,13.8,8.7,20.3,2.6,2.7,15.3,31.9
Devonte' Graham,73,195,Big 12,4.9,11.5,2.2,5.1,2.6,6.4,3.2,4.1,3.9,5.6,1.8,0.1,2.4,2.1,15.6,0.422,0.437,0.409,0.787,0.578,0.536,0.164,5.2,3.1,8.3,18.2,1.7,8.9,5.5,23.6,2.5,0.3,15.1,19.7
Monte Morris,74,183,Big 12,5.4,11.3,4.1,7.9,1.3,3.4,2.4,3.1,4.4,6.5,1.9,0.3,1.4,1.8,14.4,0.476,0.517,0.381,0.78,0.566,0.533,0.176,5.3,3.3,8.6,20.5,2.7,9.2,6.1,27.5,2.7,0.9,9.9,17.7
Paul Millsap,79,257,Conference USA,8.1,14.1,8,13.9,0.1,0.2,4.8,7.7,14.5,1.1,1.5,2.3,2.8,3.6,21.1,0.577,0.58,0.375,0.62,0.594,0.579,0.304,,,,,,,19.3,5.6,,3.5,13.5,23.7
Joe Harris,78,220,ACC,5.6,12.5,3,6.2,2.6,6.3,2.9,4.1,5,2.5,1.1,0.5,2.1,3,16.6,0.445,0.484,0.407,0.722,0.577,0.548,0.174,4.6,2.8,7.4,19.3,3.7,12.4,8.1,14.6,1.9,1.4,12.6,23.6
Wayne Ellington,76,207,ACC,7.5,16.2,4.7,9.2,2.8,7,2.8,3.5,5.7,3.1,1.3,0.2,2.1,2.1,20.7,0.463,0.513,0.397,0.809,0.577,0.549,0.164,,,,,,,8,12.6,,0.4,10.7,22.1
Eric Paschall,78,255,Multiple,5.8,12.4,4.1,7.4,1.7,5.1,3.3,4.4,6.9,2.1,1,0.7,2.6,3.1,16.6,0.468,0.562,0.331,0.765,0.574,0.535,0.14,3,1.4,4.3,17.8,6.4,14.3,10.4,10.1,1.5,2,15.3,22.3
Jalen Brunson,74,190,Big East,6.9,13.6,4.8,8.2,2.1,5.4,4,4.8,3.4,5.2,1.2,0,2.6,2.5,19.9,0.51,0.587,0.393,0.82,0.628,0.588,0.206,5.8,2.2,8,22.1,1.8,8.1,5.1,24.3,1.7,0,14.1,24
Ochai Agbaji,77,215,Big 12,5.9,13.3,3.4,6.5,2.5,6.7,2.2,3.1,5.4,2,1.2,0.6,2.1,2.2,16.6,0.448,0.526,0.373,0.714,0.564,0.542,0.148,4.5,2.6,7,16.7,3.5,11.3,7.6,9.4,1.7,1.5,12.5,21
Denzel Valentine,76,220,Big 10,5.5,12.5,3,6.3,2.5,6.2,2.1,2.7,8.2,6.1,1.3,0.4,3,2.9,15.7,0.442,0.476,0.408,0.779,0.569,0.544,0.18,5.8,3.5,9.2,20.4,4.6,18.7,12,29.5,1.9,1.1,18,22.1
Grant Williams,78,236,SEC,7.3,14.2,6.9,12.8,0.4,1.4,6.7,8.8,9,2.9,1.2,2.1,2.9,4.4,21.7,0.516,0.54,0.291,0.758,0.591,0.53,0.209,5.4,3.5,8.9,25.7,9.7,15.3,12.7,14.8,1.7,6,13.7,26.5
Skylar Mays,75,205,SEC,5.2,11.8,3.5,6.7,1.7,5.1,4.1,4.8,4.8,3.9,2.1,0.3,2.4,2.2,16.3,0.445,0.52,0.345,0.845,0.58,0.519,0.14,4,2.2,6.1,19.1,1.8,11.4,6.7,17.1,3,0.7,14.6,20
Dillon Brooks,78,225,Big 10,7.4,15.8,5.8,11.1,1.7,4.7,3.9,4.9,6.3,3.5,1.2,0.6,3,4.1,20.5,0.472,0.518,0.362,0.794,0.565,0.526,0.166,4.5,1.5,6,21.1,6.6,11.3,9,17.9,1.8,1.7,14.1,26.4
Corey Kispert,78,224,WCC,5.9,12.2,3,5.2,2.9,7.1,2.2,2.7,5.9,2,1,0.5,1.5,2.4,16.9,0.483,0.585,0.408,0.824,0.626,0.601,0.19,5.3,1.8,7.1,18.5,4.3,11.9,8.4,7.9,1.3,1.3,10.1,18.2
Tim Hardaway Jr.,77,205,Big 10,5.9,13.9,3.7,7.3,2.3,6.6,3.1,4.3,4.9,2.5,0.9,0.4,2,2.4,17.2,0.425,0.5,0.343,0.724,0.539,0.507,0.138,4,1.6,5.6,18.3,2.2,13.7,7.9,13.1,1.4,1,11.4,25.2
Draymond Green,78,230,Big 10,6,12.9,5,10.1,1,2.8,3.8,5.5,12.1,4.7,2,1.3,3.1,4.4,16.8,0.467,0.496,0.361,0.687,0.543,0.506,0.212,6.4,5.6,12,25.4,9.3,26.6,18,24.6,3,3.6,16.5,23.7
Ben Sheppard,78,190,Missouri Valley,6.8,14.2,4.3,7.5,2.5,6.8,2.7,4,6,2.8,1.6,0.2,2.2,3,18.8,0.475,0.57,0.37,0.696,0.583,0.563,0.154,2.1,-0.3,1.7,18.9,3.3,13.7,8.7,12.8,2.2,0.6,12,23.3
Cameron Johnson,80,210,Multiple,6,13.2,3,5.7,3,7.5,2.6,3.2,6.4,2.8,1.2,0.4,1.6,2.8,17.7,0.457,0.523,0.405,0.817,0.601,0.571,0.162,5.7,2.3,7.9,19.3,4.8,12.5,8.7,13,1.7,1.1,9.9,19.6
Ayo Dosunmu,77,200,Big 10,7.6,16.2,6.1,11.9,1.5,4.3,3.4,4.5,5.8,4.7,1.3,0.3,3.3,2.3,20.1,0.47,0.516,0.345,0.75,0.548,0.516,0.154,4.8,2,6.9,20.2,2.8,13.7,8.3,24.2,1.9,0.7,15.2,26.7
