draft_projection,player_name,height_in,weight_lbs,school_conf,col_fg,col_fga,col_2p,col_2pa,col_3p,col_3pa,col_ft,col_fta,col_trb,col_ast,col_stl,col_blk,col_tov,col_pf,col_pts,col_fgp,col_2pp,col_3pp,col_ftp,col_tsp,col_efgp,col_ws/40,col_obpm,col_dbpm,col_bpm,col_per,col_orbp,col_drbp,col_trbp,col_astp,col_stlp,col_blkp,col_tovp,col_usgp
1,Cooper Flagg,81,205,ACC,7.5,17.4,6.4,12.7,1,4.7,4.8,6.7,11.8,4.7,2,1.8,2.9,3,20.8,0.429,0.505,0.222,0.725,0.506,0.459,0.236,4.5,7.1,11.6,23.4,6.7,24.9,16.1,22.7,2.9,5.6,12.3,29.3
2,Dylan Harper,78,215,Big 10,9.4,18.1,7.3,12.3,2.1,5.8,6.4,8.4,5.6,5.1,1.1,0.5,2.7,1.9,27.4,0.52,0.595,0.364,0.759,0.619,0.579,0.227,9.6,1,10.6,27.6,3.7,11.8,7.9,29.2,1.5,1.4,10.7,30.7
3,Ace Bailey,82,205,Big 10,8.4,18,6.7,13.1,1.7,4.9,2.6,4.3,8.4,0.7,1.3,0.9,2.9,2.9,21.1,0.467,0.51,0.351,0.606,0.527,0.515,0.093,1.4,-0.3,1.1,16.7,4.9,18.1,11.7,3.5,1.9,2.4,12.6,28.4
4,Egor Demin,81,190,Big 12,6.4,12.9,3.8,6.2,2.6,6.7,2.9,4.3,6.4,7.9,2.2,1,3.3,1.4,18.2,0.493,0.611,0.385,0.68,0.61,0.593,0.241,6.4,3.4,9.7,23.8,2.9,15.6,9.1,33.1,3.3,3.4,17.9,22.1
5,Tre Johnson,78,190,Big 12,9.1,18.9,5.4,10.5,3.7,8.5,3.3,3.9,3.3,2.8,1.1,0.4,2.4,2.4,25.1,0.48,0.518,0.433,0.839,0.604,0.577,0.206,5.6,0.6,6.2,21.8,0.8,8.2,4.8,14.1,1.7,1,10.3,30.1
6,VJ Edgecombe,77,180,Big 12,6.3,15.1,4.7,9.1,1.6,6,2.7,4.3,8.3,4.4,3.5,1.9,2.8,2.7,16.9,0.417,0.517,0.263,0.63,0.492,0.469,0.169,4.9,5,9.9,21.9,10,16.2,12.9,18,5.1,6.2,14.2,24.6
7,Kasparas Jakucionis,78,205,Big 10,5.7,12.1,3.1,5.9,2.6,6.2,5.9,7.1,7.6,6.9,1.7,0.1,5,2.7,19.9,0.469,0.521,0.42,0.842,0.644,0.577,0.231,5.5,4.9,10.4,20.8,4.4,14,9.6,32.5,2.4,0.3,24.2,23.9
8,Khaman Maluach,86,250,ACC,7.4,9.4,7.2,8.8,0.2,0.7,2.9,3.6,10.6,0.2,0.4,1.8,0.7,3.8,18,0.786,0.821,0.333,0.813,0.806,0.798,0.293,6.9,3.9,10.8,26.4,13.4,15.5,14.5,1.1,0.7,5.5,5.7,14.8
9,Liam McNeeley,79,210,Big East,5.2,12.2,3,5.7,2.2,6.5,4.8,5.7,7.8,2.7,0.6,0.5,1.4,2.1,17.5,0.429,0.531,0.339,0.837,0.585,0.519,0.2,4.2,1,5.1,18.3,4.5,18.6,11.9,11.3,0.9,1.3,8.6,21.2
10,Asa Newell,82,220,SEC,9.9,17.4,9.1,14,0.7,3.4,3.1,4.7,9.6,1.8,1.9,1.8,1.5,3.2,23.5,0.568,0.653,0.217,0.656,0.601,0.589,0.27,7.1,3,10.1,28.3,16,12.4,14,9.6,2.7,4.9,7,25.6
11,Kon Knueppel,78,217,ACC,5.5,13.3,2.8,5.6,2.7,7.7,2.7,2.8,4.7,4.3,1.1,0,1.2,3.1,16.3,0.41,0.5,0.345,0.952,0.555,0.51,0.212,3.7,4.2,8,16.5,3,9.5,6.4,18.8,1.6,0,7.6,19.9
