"assists_name","assists_assists","assists_assist_points","assists_two_pt_assists","assists_three_pt_assists","assists_at_rim_assists","assists_short_mid_range_assists","assists_long_mid_range_assists","assists_corner3assists","assists_arc3assists","fouls_fouls","fouls_shooting_fouls","fouls_loose_ball_fouls","fouls_loose_ball_fouls_drawn","fouls_offensive_fouls","fouls_charge_fouls","fouls_offensive_fouls_drawn","fouls_charge_fouls_drawn","fouls_clear_path_fouls","fouls_transition_take_fouls","fouls_transition_take_fouls_drawn","fouls_defensive_3_seconds_violations","fouls_fouls_drawn","free_fta","free_technical_free_throw_trips","free_two_pt_shooting_fouls_drawn","free_x2pt_and_1_free_throw_trips","free_three_pt_shooting_fouls_drawn","free_x3pt_and_1_free_throw_trips","free_non_shooting_fouls_drawn","free_shooting_fouls_drawn_pct","free_two_pt_shooting_fouls_drawn_pct","free_three_pt_shooting_fouls_drawn_pct","misc_plus_minus","misc_on_off_rtg","misc_on_def_rtg","misc_first_chance_points","misc_three_pt_off_rebounded_pct","misc_at_rim_off_rebounded_pct","misc_short_mid_range_off_rebounded_pct","misc_long_mid_range_off_rebounded_pct","misc_blocks","misc_blocked2s","misc_blocked3s","misc_blocked_at_rim","misc_blocked_short_mid_range","misc_blocked_long_mid_range","misc_blocked_corner3","misc_blocked_arc3","misc_recovered_blocks","misc_blocks_recovered_pct","misc_steals","misc_lost_ball_steals","misc_bad_pass_steals","misc_defensive_goaltends","profile_height_in","profile_weight_lbs","rebounds_rebounds","rebounds_def_rebounds","rebounds_ft_def_rebounds","rebounds_def_ft_rebound_pct","rebounds_def_two_pt_rebounds","rebounds_def_two_pt_rebound_pct","rebounds_def_three_pt_rebounds","rebounds_def_three_pt_rebound_pct","rebounds_def_fg_rebound_pct","rebounds_off_rebounds","rebounds_ft_off_rebounds","rebounds_off_ft_rebound_pct","rebounds_off_two_pt_rebounds","rebounds_off_two_pt_rebound_pct","rebounds_off_three_pt_rebounds","rebounds_off_three_pt_rebound_pct","rebounds_off_fg_rebound_pct","rebounds_def_at_rim_rebound_pct","rebounds_def_short_mid_range_rebound_pct","rebounds_def_long_mid_range_rebound_pct","rebounds_def_arc3rebound_pct","rebounds_def_corner3rebound_pct","rebounds_off_at_rim_rebound_pct","rebounds_off_short_mid_range_rebound_pct","rebounds_off_long_mid_range_rebound_pct","rebounds_off_arc3rebound_pct","rebounds_off_corner3rebound_pct","rebounds_self_o_reb","rebounds_self_o_reb_pct","scoring_off_poss","scoring_points","scoring_fg2m","scoring_fg2a","scoring_fg2pct","scoring_fg3m","scoring_fg3a","scoring_fg3pct","scoring_non_heave_fg3pct","scoring_ft_points","scoring_pts_assisted2s","scoring_pts_unassisted2s","scoring_pts_assisted3s","scoring_pts_unassisted3s","scoring_assisted2s_pct","scoring_non_putbacks_assisted2s_pct","scoring_assisted3s_pct","scoring_fg3a_pct","scoring_shot_quality_avg","scoring_efg_pct","scoring_ts_pct","scoring_pts_putbacks","scoring_fg2a_blocked","scoring_fg2a_pct_blocked","scoring_fg3a_blocked","scoring_fg3a_pct_blocked","scoring_usage","second_second_chance_off_poss","second_second_chance_points","second_second_chance_points_pct","second_second_chance_fg2m","second_second_chance_fg2a","second_second_chance_fg2pct","second_second_chance_fg3m","second_second_chance_fg3a","second_second_chance_fg3pct","second_second_chance_ft_points","second_second_chance_efg_pct","second_second_chance_ts_pct","second_second_chance_shot_quality_avg","second_second_chance_at_rim_fgm","second_second_chance_at_rim_fga","second_second_chance_at_rim_frequency","second_second_chance_at_rim_accuracy","second_second_chance_at_rim_pct_assisted","second_second_chance_corner3fgm","second_second_chance_corner3fga","second_second_chance_corner3frequency","second_second_chance_corner3accuracy","second_second_chance_corner3pct_assisted","second_second_chance_arc3fgm","second_second_chance_arc3fga","second_second_chance_arc3frequency","second_second_chance_arc3accuracy","second_second_chance_arc3pct_assisted","second_second_chance_turnovers","shot_shot_quality_avg","shot_at_rim_fg3a_frequency","shot_avg2pt_shot_distance","shot_avg3pt_shot_distance","shot_at_rim_fgm","shot_at_rim_fga","shot_at_rim_frequency","shot_at_rim_accuracy","shot_unblocked_at_rim_accuracy","shot_at_rim_pct_assisted","shot_at_rim_pct_blocked","shot_short_mid_range_fgm","shot_short_mid_range_fga","shot_short_mid_range_frequency","shot_short_mid_range_accuracy","shot_unblocked_short_mid_range_accuracy","shot_short_mid_range_pct_assisted","shot_short_mid_range_pct_blocked","shot_long_mid_range_fgm","shot_long_mid_range_fga","shot_long_mid_range_frequency","shot_long_mid_range_accuracy","shot_unblocked_long_mid_range_accuracy","shot_long_mid_range_pct_assisted","shot_long_mid_range_pct_blocked","shot_corner3fgm","shot_corner3fga","shot_corner3frequency","shot_corner3accuracy","shot_unblocked_corner3accuracy","shot_corner3pct_assisted","shot_corner3pct_blocked","shot_arc3fgm","shot_arc3fga","shot_arc3frequency","shot_arc3accuracy","shot_unblocked_arc3accuracy","shot_arc3pct_assisted","shot_arc3pct_blocked","shot_non_heave_arc3fgm","shot_non_heave_arc3fga","shot_non_heave_arc3accuracy","shot_heave_attempts","shot_heave_makes","turnovers_turnovers","turnovers_live_ball_turnovers","turnovers_dead_ball_turnovers","turnovers_live_ball_turnover_pct","turnovers_lost_ball_turnovers","turnovers_lost_ball_out_of_bounds_turnovers","turnovers_bad_pass_turnovers","turnovers_bad_pass_out_of_bounds_turnovers","turnovers_travels","turnovers_x3second_violations","turnovers_step_out_of_bounds_turnovers","turnovers_offensive_goaltends","turnovers_height_in","turnovers_weight_lbs"
"Mikal Bridges",987,2404,557,430,339,160,58,176,254,571,286,23,25,17,5,85,2,0,1,2,0,829,979,31,422,119,23,5,84,0.093572181,0.145067033,0.0119825708061002,918,117.404313676599,113.424350568512,5207,0.224341507720254,0.342657342657343,0.295798319327731,0.174242424242424,202,192,10,113,72,7,3,7,120,0.594059406,369,85,284,3,78,209,1475,1156,53,0.093971631,508,0.080904603,595,0.116392801251956,0.096830831,319,5,0.0108459869848156,137,0.0225848994394988,177,0.035063391,0.028252654,0.06641545,0.074895978,0.118710691823899,0.113993514592168,0.125113327289211,0.0273414776032577,0.0184733356570234,0.025033829,0.0359100877192982,0.0328571428571429,32,0.0153624579932789,24063,5792,1447,2606,0.555257099002302,690,1819,0.379329301814184,0.381506090808416,828,1816,1078,1932,138,0.627505183137526,0.657018813314038,0.933333333333333,0.411073446327684,0.531067774500907,0.56090395480226,0.596790890269151,130,156,0.0598618572524942,10,0.005497526,19.5609448585308,2532,585,0.10100138121547,145,252,0.575396825396825,79,181,0.43646408839779,58,0.608545034642032,0.633405639913232,0.534089483,78,110,0.254041570438799,0.709090909090909,0.320512820512821,51,102,0.235565819861432,0.5,0.96078431372549,28,79,0.182448036951501,0.354430379746835,0.964285714285714,34,0.531067774500907,0.635254237288136,7.80349194167306,24.8317757009346,704,992,0.224180791,0.709677419354839,0.765217391304348,0.730113636363636,0.072580645,572,1175,0.265536723163842,0.486808510638298,0.519056261343013,0.541958042,0.0621276595744681,171,439,0.09920904,0.389521640091116,0.399532710280374,0.491228070175439,0.0250569476082005,361,850,0.192090395,0.424705882352941,0.426713947990544,0.980609418282548,0.004705882,329,969,0.218983050847458,0.33952528379773,0.341640706126687,0.881458966565349,0.00619195,328,955,0.343455497382199,13,1,451,297,154,0.658536585365854,102,38,195,56,18,0,15,0,78,209
"Jayson Tatum",1448,3675,669,779,405,193,71,264,515,658,231,33,35,80,51,25,0,2,5,4,3,1471,2103,122,781,172,84,12,187,0.122734408448694,0.183032575580033,0.0288321167883212,2130,120.243110408987,111.218202623009,7913,0.236043689320388,0.362919132149901,0.337950138504155,0.236486486486486,186,165,21,76,76,13,3,18,106,0.56989247311828,331,115,216,9,80,210,2535,2243,143,0.291836734693878,1005,0.170657157412124,1095,0.213616855247757,0.190649114843395,292,3,0.006726457,147,0.0307210031347962,142,0.024790503,0.0274897745648245,0.134916351861846,0.178221415607985,0.206088992974239,0.215289765721332,0.207282913165266,0.038484666,0.0311627906976744,0.016460905,0.0240828269187486,0.0272373540856031,103,0.033859303,22788,8598,1948,3658,0.532531437944232,974,2673,0.364384586606809,0.364794007490637,1780,1624,2272,1575,1347,0.416837782340862,0.434456928838951,0.539014373716632,0.422208181961775,0.516948829669461,0.538461538461538,0.590359772,158,272,0.074357572,11,0.004115226,31.3514357053683,2479,685,0.079669691,172,318,0.540880503144654,78,209,0.373205741626794,107,0.548387096774194,0.586206896551724,0.529101892744479,127,200,0.379506641366224,0.635,0.259842519685039,17,44,0.083491461,0.386363636363636,0.823529411764706,61,165,0.313092979127135,0.36969696969697,0.770491803278688,43,0.516948829669461,0.690728163007424,7.22263532,26.0938645716423,1189,1700,0.268519981045648,0.699411764705882,0.761203585147247,0.456686291,0.081176471,459,1191,0.188121939661981,0.385390428211587,0.430581613508443,0.335511982570806,0.10495382031906,300,767,0.121149897330595,0.391134289439374,0.395778364116095,0.383333333333333,0.0117340286831812,110,277,0.043752962,0.397111913357401,0.397111913357401,0.790909090909091,0,864,2396,0.378455220344337,0.360601001669449,0.362264150943396,0.506944444444444,0.004590985,864,2393,0.36105307145842,3,0,852,464,388,0.544600938967136,203,59,261,124,44,2,12,1,80,210
"Anthony Edwards",1334,3345,657,677,449,169,39,233,444,666,268,23,14,34,41,13,1,2,4,3,10,1084,1581,44,750,211,15,4,107,0.116420636128443,0.183508686077808,0.006038647,553,115.39722246183,113.109729776396,7005,0.217562254259502,0.332335329341317,0.315873015873016,0.213114754098361,196,180,16,97,74,9,6,10,107,0.545918367346939,445,178,267,6,76,225,1691,1457,32,0.056140350877193,638,0.111460517120894,787,0.158989899,0.133501967397414,234,8,0.012882448,120,0.02241733607323,106,0.020329881,0.0213873379388663,0.09342723,0.104257859132511,0.163737280296022,0.161507402422611,0.151417004,0.02962963,0.020680741,0.009174312,0.0170180340360681,0.0305403288958496,74,0.0246010638297872,23186,7527,1798,3548,0.506764374295378,892,2473,0.360695511524464,0.363192182410423,1255,1280,2316,1482,1194,0.3559510567297,0.363843092666288,0.553811659192825,0.410729114764989,0.53855030823059,0.520843713668826,0.561395627433363,78,239,0.067361894,7,0.00283057,29.1482746708632,2497,522,0.069350339,106,238,0.445378151260504,79,185,0.427027027027027,73,0.530732860520095,0.560737527114967,0.537624427,82,135,0.319148936170213,0.607407407407407,0.365853658536585,17,45,0.106382978723404,0.377777777777778,1,62,140,0.33096926713948,0.442857142857143,0.693548387096774,44,0.53855030823059,0.717654874605547,6.756200676,25.710958350182,1178,1848,0.306925759840558,0.637445887445887,0.688888888888889,0.390492359932088,0.074675325,381,1019,0.169240989868793,0.373895976447498,0.413232104121475,0.307086614173228,0.095191364,239,681,0.11310413552566,0.350954478707783,0.353028064992614,0.263598326359833,0.005873715,104,295,0.0489951835243315,0.352542372881356,0.356164383561644,0.865384615384615,0.0101694915254237,788,2178,0.361733931240658,0.361799816345271,0.362465501379945,0.512690355329949,0.001836547,788,2161,0.364645997223508,17,0,922,540,382,0.585683297180043,253,68,287,141,63,2,14,2,76,225
"DeMar DeRozan",1676,4160,868,808,530,234,104,228,580,689,363,26,29,27,23,59,22,1,6,1,5,1681,2293,84,1109,289,16,9,122,0.179397225,0.196700957786449,0.025276461,35,115.558393517703,115.730436318672,7063,0.245524296675192,0.376344086021505,0.269372693726937,0.213636363636364,131,129,2,73,54,2,1,1,73,0.557251908396947,326,101,225,1,78,220,1413,1230,69,0.121052631578947,569,0.106375023368854,592,0.11904283128896,0.112478201898857,183,5,0.010504202,126,0.0201342281879195,52,0.012636695018226,0.0171599344451943,0.098726115,0.107838479809976,0.119502868068834,0.118152524167562,0.121697357886309,0.0260058881256133,0.0234782608695652,0.009895833,0.0114093959731544,0.0158590308370044,62,0.025974025974026,22708,7597,2500,4818,0.518887505,202,626,0.322683706070288,0.327922077922078,1991,1262,3738,525,81,0.2524,0.254949494949495,0.866336633663366,0.114988978692138,0.473020167525773,0.514878765613519,0.588534334,50,289,0.059983395599834,6,0.009584665,27.6967469069924,2241,534,0.070290904,178,324,0.549382716049383,16,47,0.340425531914894,130,0.544474393530997,0.617924528301887,0.468924909090909,59,87,0.234501347708895,0.67816091954023,0.254237288135593,3,12,0.032345013,0.25,0.666666666666667,13,35,0.094339623,0.371428571428571,0.846153846153846,26,0.473020167525773,0.315025716385011,11.3340597758406,25.5477635782748,715,1089,0.200036737692873,0.656565656565657,0.758218451749735,0.293706293706294,0.13406795224977,851,1672,0.30712711241734,0.508971291866029,0.543769968051118,0.156286721504113,0.063995215,934,2057,0.377847171197649,0.454059309674283,0.462147451756556,0.308351177730193,0.017501215,74,221,0.040595151,0.334841629,0.337899543378995,0.905405405405405,0.009049774,128,405,0.074393828,0.316049382716049,0.319201995012469,0.84375,0.009876543,128,395,0.324050632911392,10,0,622,404,218,0.64951768488746,156,48,248,63,40,0,10,0,78,220
"Nikola Vucevic",1105,2729,586,519,348,106,132,173,346,747,469,45,80,71,15,13,4,0,3,0,2,687,625,22,273,85,0,0,71,0.050064185,0.069892473,0,-653,112.883601460051,116.129760990376,5464,0.170707070707071,0.348668280871671,0.185230024213075,0.104622871046229,255,249,6,164,83,2,1,5,157,0.615686275,265,67,198,4,82,260,3569,2863,221,0.418560606060606,1432,0.278761923301538,1210,0.240891897272546,0.26003937007874,706,6,0.0155844155844156,501,0.087404047,199,0.0436978480456741,0.068053665,0.263741805345436,0.300722891566265,0.264133456904541,0.240516332982086,0.242053789731051,0.122554067971164,0.082293111,0.052243393,0.0362529,0.066907776,110,0.04510045100451,22191,6269,2056,3718,0.552985476062399,548,1547,0.354234001292825,0.354692556634304,513,2904,1208,1638,6,0.706225680933852,0.791280653950954,0.996350364963504,0.293827160493827,0.505081474444233,0.546628679962013,0.565622737,442,201,0.0540613232920925,2,0.001292825,24.7973275756712,2036,805,0.12840963471048,327,583,0.560891938250429,23,77,0.298701298701299,82,0.547727272727273,0.569405099150142,0.579881800391389,259,426,0.645454545454546,0.607981221,0.131274131274131,1,7,0.0106060606060606,0.142857142857143,1,22,70,0.106060606060606,0.314285714285714,1,39,0.505081474444233,0.536942070275404,7.786982249,25.8660633484163,865,1280,0.243114909781576,0.67578125,0.735544217687075,0.616184971098266,0.08125,876,1705,0.32383665716999,0.513782991,0.543761638733706,0.746575342465753,0.055131965,315,733,0.139221272554606,0.429740791268759,0.431506849315068,0.841269841269841,0.004092769,40,107,0.0203228869895537,0.373831775700935,0.377358490566038,1,0.009345794,508,1440,0.273504273504274,0.352777777777778,0.353022932592078,0.996062992125984,0.000694444,508,1438,0.35326842837274,2,0,565,320,245,0.566371681415929,148,21,172,75,34,9,7,3,82,260
"Domantas Sabonis",2126,5267,1111,1015,651,286,174,225,790,1015,473,141,152,155,45,31,7,0,1,2,9,1467,1621,0,759,201,2,0,147,0.167731981485563,0.188712083540527,0.003883495,285,116.275640166242,115.616856860455,4964,0.166153846153846,0.360759493670886,0.238372093023256,0.121212121212121,157,154,3,92,59,3,2,1,106,0.67515923566879,290,78,212,9,82,240,3880,2909,218,0.44672131147541,1591,0.288538266231411,1100,0.246360582306831,0.26966629922838,971,11,0.0200364298724954,647,0.127012171181782,313,0.061312439,0.094126875,0.274753758424054,0.300357569,0.285580524344569,0.257631257631258,0.215306980656013,0.156639004149378,0.126077097505669,0.069719043,0.0548827621746972,0.081699346,154,0.112163146394756,22377,6012,2142,3464,0.618360277136259,179,513,0.348927875243665,0.349609375,1191,2586,1698,519,18,0.603641457,0.687765957446808,0.966480446927374,0.128991702288157,0.540326043762575,0.606110133266281,0.641759180187874,524,265,0.076501155,3,0.005847953,22.5539037902037,2375,1048,0.174318030605456,398,658,0.604863221884498,13,40,0.325,213,0.598137535816619,0.637469586374696,0.574176815642458,344,536,0.767908309455587,0.641791044776119,0.168604651162791,2,4,0.005730659,0.5,1,11,36,0.051575931,0.305555555555556,0.818181818181818,73,0.540326043762575,0.682172491828011,4.4993648960739,25.8695906432749,1566,2200,0.553180789539854,0.711818181818182,0.768023540951447,0.616219667943806,0.073181818,472,993,0.249685693,0.475327291037261,0.529741863075196,0.523305084745763,0.102719033232628,104,271,0.068141815,0.383763837638376,0.386617100371747,0.778846153846154,0.007380074,15,45,0.011315062,0.333333333333333,0.333333333333333,1,0,164,468,0.117676640683933,0.35042735042735,0.352688172043011,0.963414634146341,0.006410256,164,467,0.351177730192719,1,0,983,501,482,0.509664292980671,260,74,241,107,72,15,5,1,82,240
"Pascal Siakam",1456,3620,748,708,491,189,68,199,509,894,353,49,43,60,56,29,5,0,3,2,12,1400,1639,6,810,216,2,1,110,0.142281408796215,0.176010430247718,0.001809955,596,117.015034836817,114.614076219372,5925,0.214689265536723,0.361169102296451,0.326984127,0.1675,146,128,18,79,48,1,6,12,91,0.623287671232877,300,134,166,5,80,245,2270,1733,126,0.254032258064516,861,0.167509727626459,746,0.163238512035011,0.165499485066941,537,8,0.0140350877192982,336,0.058495822,193,0.041559001,0.050924143,0.141530054644809,0.18023976849938,0.18630752,0.161102603369066,0.168582375478927,0.083246618,0.06028636,0.01369863,0.04051297,0.044517725,156,0.067357513,21816,6697,2163,4008,0.539670658682635,370,1104,0.335144927536232,0.336669699727025,1261,1654,2672,1017,93,0.382339344,0.411442786069652,0.916216216216216,0.215962441,0.501871772771792,0.53169014084507,0.575296544610624,306,217,0.054141717,2,0.001811594,26.1394372451657,2544,772,0.115275496490966,259,472,0.548728814,37,110,0.336363636363636,143,0.540378006872852,0.583963691,0.545252524038462,191,301,0.517182130584192,0.634551495016611,0.09947644,9,21,0.036082474,0.428571428571429,1,28,89,0.152920962199313,0.314606741573034,0.928571428571429,40,0.501871772771792,0.515845070422535,7.42844311377246,25.5879528985507,1053,1533,0.299882629107981,0.686888454011742,0.730742539902845,0.481481481481481,0.0600130463144162,827,1779,0.348004694835681,0.46486790331647,0.498192771084337,0.293833131801693,0.066891512,283,696,0.136150234741784,0.406609195402299,0.410144927536232,0.27208480565371,0.00862069,110,275,0.0537949921752739,0.4,0.4,1,0,260,829,0.16216744913928,0.313630880579011,0.314389359129383,0.880769230769231,0.002412545,260,824,0.315533980582524,5,0,659,355,304,0.538694992412747,142,41,213,74,47,0,9,1,80,245
"Nikola Jokic",2762,6445,1841,921,1324,275,242,307,614,790,405,48,111,63,24,24,10,0,2,8,24,1831,1845,54,738,241,10,2,266,0.12558764271323,0.148790322580645,0.0100401606425703,2323,122.925983389614,112.95947868386,7047,0.185512367491166,0.498175182481752,0.356014580801944,0.133064516129032,240,240,0,117,117,6,0,0,147,0.6125,433,106,327,0,83,284,3850,2972,187,0.366666666666667,1742,0.321342925659472,1043,0.219717716452496,0.273898505114083,878,6,0.0119284294234592,643,0.125684128225176,229,0.0544978581627796,0.093582314,0.322562358,0.339123568890643,0.279359430604982,0.216139954853273,0.230257689110557,0.158084449021627,0.129995185363505,0.060164084,0.052045827,0.061028771,291,0.151641479937467,21914,8290,2826,4463,0.633206363432669,371,988,0.375506072874494,0.384455958549223,1525,3196,2456,987,126,0.565463552724699,0.645656565656566,0.886792452830189,0.181251146578609,0.493569913380022,0.620528343,0.662568306,702,266,0.059601165,2,0.002024291,29.5300377757017,2327,1243,0.149939686369119,482,791,0.609355246523388,17,53,0.320754716981132,228,0.601303318,0.647335423197492,0.561210428994083,375,593,0.702606635,0.632377740303541,0.072,0,3,0.003554502,0,0,17,50,0.059241706,0.34,0.882352941176471,41,0.493569913380022,0.531829022197762,6.13900963477482,26.7306680161943,1362,1911,0.350577875619152,0.712715855572998,0.764309764309764,0.52863436123348,0.067503925,1204,2033,0.372959090075216,0.592228234136744,0.634351949420443,0.602159468438538,0.066404329,260,519,0.095211888,0.500963391136802,0.502901353965184,0.588461538461538,0.003853565,13,38,0.006971198,0.342105263157895,0.342105263157895,1,0,358,950,0.174279948633278,0.376842105263158,0.377637130801688,0.882681564,0.002105263,358,927,0.386192017259978,23,0,1058,716,342,0.676748582230624,257,42,459,165,26,6,3,4,83,284
"Harrison Barnes",654,1604,358,296,199,127,32,106,190,389,201,35,29,26,17,55,10,0,1,2,3,1013,1328,58,588,130,4,0,106,0.162496563101457,0.267151295,0.002089136,-232,116.666666666667,117.998978122532,4219,0.237054085155351,0.377708978328173,0.291079812206573,0.133333333333333,52,50,2,25,24,1,1,1,33,0.634615384615385,214,64,150,1,80,225,1536,1197,74,0.156779661016949,573,0.109205260148656,550,0.123125139914932,0.115606341362981,339,9,0.015490534,153,0.030490235,177,0.037060302,0.033694098,0.103523035230352,0.114031369224248,0.108341323106424,0.1251119737235,0.117173524150268,0.035755479,0.028759244,0.0247058823529412,0.0404150737302021,0.026032315978456,49,0.032493369,21576,4692,960,1743,0.550774526678141,557,1433,0.388695045359386,0.389238294898672,1101,1144,776,1572,99,0.595833333333333,0.636971046770601,0.940754039,0.451196473551637,0.534458616887209,0.565333753148615,0.620325854700855,124,140,0.080321285,1,0.000697837,17.0352882703777,2274,473,0.100809889173061,118,198,0.595959595959596,49,116,0.422413793103448,90,0.609872611464968,0.648351648351648,0.567960101,96,146,0.464968152866242,0.657534246575342,0.28125,20,34,0.10828025477707,0.588235294117647,1,29,82,0.261146496815287,0.353658536585366,1,22,0.534458616887209,0.751574307304786,4.74956970740103,25.0222609909281,630,954,0.300377833753149,0.660377358,0.722477064220184,0.617460317460317,0.085953878,305,732,0.230478589420655,0.416666666666667,0.451851851851852,0.547540983606557,0.077868852,25,57,0.0179471032745592,0.43859649122807,0.446428571428571,0.64,0.0175438596491228,226,517,0.162783375314861,0.437137331,0.437984496,0.986725663716814,0.001934236,331,916,0.288413098236776,0.361353712,0.361353712,0.909365558912387,0,331,914,0.362144420131291,2,0,373,225,148,0.603217158176944,106,28,119,45,26,1,2,1,80,225
"Fred VanVleet",1975,4676,1249,726,745,399,105,255,471,711,296,45,24,35,12,89,3,2,1,2,4,848,984,101,330,66,29,4,107,0.076334255,0.15,0.0115860966839792,860,115.939260815586,112.396218265585,4773,0.293565683646113,0.420195439739414,0.366583541147132,0.237388724035608,179,167,12,66,89,12,4,8,108,0.603351955307263,456,280,176,0,73,197,1159,1007,13,0.0255905511811024,507,0.104170947195398,487,0.106681270536692,0.105385920271416,152,2,0.004040404,81,0.0147112241191428,69,0.0142650403142444,0.0145025621193077,0.09994223,0.100087032201915,0.124105011933174,0.104051565377532,0.113236419280796,0.0157041540020263,0.013935811,0.0146048109965636,0.0150862068965517,0.0115555555555556,45,0.019271948608137,20942,5295,860,1936,0.444214876033058,904,2478,0.364810330912026,0.369130257247856,863,398,1322,1629,1083,0.231395348837209,0.234393404004711,0.600663716814159,0.561395559583145,0.503960224667584,0.502038966923425,0.541995841995842,22,181,0.093491736,28,0.0112994350282486,22.348769294952,2568,522,0.098583569,60,147,0.408163265306122,114,282,0.404255319148936,60,0.538461538461538,0.564551422319475,0.503070446096654,22,44,0.102564102564103,0.5,0.272727272727273,25,59,0.137529137529138,0.423728814,0.88,89,223,0.51981351981352,0.399103139013453,0.797752809,36,0.503960224667584,0.711146352514726,9.48553719008265,26.72001614205,351,661,0.149750792931581,0.531013615733737,0.607266435986159,0.216524216524217,0.125567322239032,230,644,0.145899411,0.357142857142857,0.410714285714286,0.191304347826087,0.130434782608696,279,631,0.142954236520163,0.44215530903328,0.452188006482982,0.283154121863799,0.0221870047543582,121,297,0.067285908,0.407407407407407,0.41296928327645,0.909090909090909,0.0134680134680135,783,2181,0.494109651110104,0.359009628610729,0.363004172461752,0.553001277139208,0.0110041265474553,783,2152,0.363847583643123,29,0,557,382,175,0.685816876122083,116,31,266,68,15,0,12,0,73,197
