Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists
Mikal Bridges,NYK,342,11898,987,2404,557,430,339,160,58,176,254
Jayson Tatum,BOS,311,11237,1448,3675,669,779,405,193,71,264,515
Anthony Edwards,MIN,325,11229,1334,3345,657,677,449,169,39,233,444
DeMar DeRozan,SAC,310,11182,1676,4160,868,808,530,234,104,228,580
Nikola Vucevic,CHI,326,10915,1105,2729,586,519,348,106,132,173,346
Domantas Sabonis,SAC,308,10856,2126,5267,1111,1015,651,286,174,225,790
Pascal Siakam,IND,300,10755,1456,3620,748,708,491,189,68,199,509
Nikola Jokic,DEN,313,10738,2762,6445,1841,921,1324,275,242,307,614
Harrison Barnes,SAS,323,10418,654,1604,358,296,199,127,32,106,190
Fred VanVleet,HOU,281,10353,1975,4676,1249,726,745,399,105,255,471
Julius Randle,MIN,289,10342,1435,3721,584,851,355,153,76,295,556
Dejounte Murray,NOP,295,10242,1992,4699,1277,715,703,416,158,208,507
Luka Doncic,DAL,285,10230,2495,6054,1431,1064,1090,245,96,421,643
De'Aaron Fox,SAC,289,10144,1763,4290,999,764,688,255,56,186,578
Tobias Harris,DET,303,10142,932,2275,521,411,328,131,62,155,256
Trae Young,ATL,290,10122,2948,6850,1994,954,1501,366,127,361,593
Jalen Brunson,NYK,315,10114,1732,4262,934,798,638,219,77,267,531
Buddy Hield,GSW,339,10113,981,2308,635,346,414,179,42,125,221
RJ Barrett,TOR,294,9958,943,2264,565,378,401,114,50,152,226
Rudy Gobert,MIN,306,9837,396,1018,170,226,88,62,20,68,158
Kentavious Caldwell-Pope,ORL,321,9769,682,1592,454,228,298,120,36,76,152
Devin Booker,PHX,279,9748,1530,3763,827,703,495,247,85,290,413
Bam Adebayo,MIA,288,9747,1168,2906,598,570,402,147,49,127,443
Terry Rozier,MIA,286,9675,1342,3249,777,565,501,221,55,185,380
Jaylen Brown,BOS,280,9653,994,2473,509,485,360,121,28,145,340
Royce O'Neale,PHX,326,9604,921,2289,474,447,326,110,38,154,293
Giannis Antetokounmpo,MIL,285,9544,1711,4468,665,1046,410,166,89,328,718
James Harden,LAC,263,9447,2579,5980,1757,822,1110,438,209,270,552
Tyrese Haliburton,IND,285,9431,2484,5907,1545,939,1016,387,142,287,652
Darius Garland,CLE,272,9296,1978,4543,1391,587,1046,287,58,181,406
Stephen Curry,GSW,275,9275,1616,3771,1077,539,752,258,67,190,349
Russell Westbrook,DEN,306,9247,2310,5334,1596,714,1022,404,170,221,493
Jrue Holiday,BOS,283,9216,1726,4211,967,759,671,207,89,213,546
Coby White,CHI,306,9193,1222,2943,723,499,397,214,112,209,290
Donovan Mitchell,CLE,267,9177,1374,3365,757,617,571,167,19,235,382
Josh Hart,NYK,281,9159,1083,2657,592,491,395,145,52,152,339
Jarrett Allen,CLE,289,9080,566,1350,348,218,224,79,45,48,170
Keldon Johnson,SAS,299,9045,694,1671,411,283,252,108,51,93,190
Dennis Schroder,BKN,293,9011,1577,3818,913,664,587,240,86,189,475
Kyle Kuzma,WAS,280,9008,918,2192,562,356,410,106,46,144,212
Dorian Finney-Smith,BKN,290,8968,487,1195,266,221,168,65,33,70,151
CJ McCollum,NOP,262,8954,1319,3127,830,489,519,229,82,151,338
P.J. Washington,DAL,294,8941,671,1623,390,281,272,71,47,78,203
Gary Trent Jr.,MIL,286,8908,466,1128,270,196,159,85,26,55,141
Shai Gilgeous-Alexander,OKC,257,8876,1519,3813,744,775,486,191,67,213,562
Damian Lillard,MIL,247,8863,1800,4353,1047,753,756,200,91,253,500
LeBron James,LAL,250,8852,1873,4402,1217,656,919,233,65,252,404
Tyrese Maxey,PHI,282,8814,1169,2817,690,479,401,185,104,142,337
Saddiq Bey,ATL,292,8804,538,1301,313,225,209,76,28,83,142
Derrick White,BOS,289,8759,1304,3119,793,511,521,213,59,143,368
Zach LaVine,CHI,249,8735,1103,2608,701,402,376,224,101,142,260
D'Angelo Russell,LAL,277,8690,1740,4077,1143,597,825,241,77,153,444
Jordan Poole,WAS,307,8681,1214,2908,734,480,474,209,51,117,363
Kevin Huerter,SAC,304,8641,877,2072,559,318,347,165,47,113,205
Jaden McDaniels,MIN,307,8526,441,1069,254,187,180,63,11,61,126
Chris Paul,SAS,276,8451,2446,5765,1573,873,861,513,199,237,636
Aaron Gordon,DEN,277,8438,850,2014,536,314,332,138,66,90,224
Jimmy Butler,MIA,250,8402,1400,3499,701,699,435,208,58,271,428
Luguentz Dort,OKC,279,8400,485,1175,280,205,182,78,20,46,159
Andrew Wiggins,GSW,272,8377,579,1490,247,332,146,78,23,83,249
Jonas Valanciunas,WAS,319,8336,663,1526,463,200,266,120,77,26,174
Malik Beasley,DET,301,8332,482,1176,270,212,181,60,29,68,144
Tyler Herro,MIA,251,8293,1026,2487,591,435,385,165,41,158,277
Mike Conley,MIN,285,8262,1673,4035,984,689,681,258,45,179,510
Ivica Zubac,LAC,317,8236,438,1058,256,182,115,74,67,53,129
Franz Wagner,ORL,256,8204,925,2209,566,359,425,94,47,119,240
Brandon Ingram,NOP,243,8198,1321,3204,759,562,548,165,46,199,363
John Collins,UTA,278,8176,393,945,234,159,148,64,22,31,128
Deandre Ayton,POR,266,8160,409,1002,225,184,100,72,53,54,130
Deni Avdija,POR,311,8156,801,1882,521,280,353,126,42,83,197
Isaac Okoro,CLE,300,8132,506,1223,295,211,189,82,24,59,152
Kevin Durant,PHX,225,8131,1199,2820,777,422,553,167,57,126,296
Jalen Green,HOU,249,8124,811,1902,531,280,360,142,29,69,211
Clint Capela,ATL,300,8121,325,787,188,137,89,67,32,55,82
Jerami Grant,POR,240,8119,616,1519,329,287,201,83,45,86,201
Tim Hardaway Jr.,DET,284,8115,520,1277,283,237,200,54,29,94,143
OG Anunoby,NYK,231,8089,503,1226,283,220,182,73,28,80,140
Dillon Brooks,HOU,268,8066,591,1386,387,204,229,139,19,58,146
Kyrie Irving,DAL,223,8020,1236,2969,739,497,499,170,70,152,345
Grayson Allen,PHX,282,8002,635,1539,366,269,220,100,46,104,165
Anthony Davis,LAL,231,7984,726,1745,433,293,298,86,49,66,227
Kelly Oubre Jr.,PHI,269,7981,342,812,214,128,137,51,26,39,89
Jordan Clarkson,UTA,276,7967,959,2347,530,429,370,133,27,166,263
Caris LeVert,CLE,266,7926,1204,2888,724,480,530,154,40,131,349
Lauri Markkanen,UTA,251,7859,401,1000,203,198,128,53,22,72,126
Karl-Anthony Towns,NYK,236,7856,886,2116,542,344,404,97,41,124,220
Scottie Barnes,TOR,224,7831,1091,2612,661,430,451,161,49,148,282
Terance Mann,LAC,327,7808,656,1620,348,308,206,106,36,90,218
Norman Powell,LAC,268,7807,461,1133,250,211,171,62,17,79,132
Jakob Poeltl,TOR,282,7793,709,1615,512,197,275,146,91,48,149
Bobby Portis,MIL,312,7751,400,1029,171,229,116,27,28,71,158
Brook Lopez,MIL,263,7739,320,787,173,147,113,36,24,29,118
Bojan Bogdanovic,NYK,257,7718,505,1272,243,262,162,66,15,102,160
Paul George,PHI,227,7706,1068,2607,597,471,396,143,58,159,312
Draymond Green,GSW,258,7697,1836,4423,1085,751,703,270,112,151,600
Miles Bridges,CHA,226,7681,711,1776,357,354,256,70,31,120,234
Grant Williams,CHA,311,7666,484,1217,235,249,152,43,40,79,170
Donte DiVincenzo,MIN,284,7653,871,2054,559,312,389,132,38,110,202
Joel Embiid,PHI,229,7634,940,2344,476,464,296,109,71,130,334
