Name,TeamAbbreviation,GamesPlayed,Minutes,Fouls,ShootingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls,Charge Fouls,Offensive Fouls Drawn,Charge Fouls Drawn,Clear Path Fouls,Transition Take Fouls,Transition Take Fouls Drawn,Defensive 3 Seconds Violations,FoulsDrawn
Mikal Bridges,NYK,342,11898,571,286,23,25,17,5,85,2,0,1,2,0,829
Jayson Tatum,BOS,311,11237,658,231,33,35,80,51,25,0,2,5,4,3,1471
Anthony Edwards,MIN,325,11229,666,268,23,14,34,41,13,1,2,4,3,10,1084
DeMar DeRozan,SAC,310,11182,689,363,26,29,27,23,59,22,1,6,1,5,1681
Nikola Vucevic,CHI,326,10915,747,469,45,80,71,15,13,4,0,3,0,2,687
Domantas Sabonis,SAC,308,10856,1015,473,141,152,155,45,31,7,0,1,2,9,1467
Pascal Siakam,IND,300,10755,894,353,49,43,60,56,29,5,0,3,2,12,1400
Nikola Jokic,DEN,313,10738,790,405,48,111,63,24,24,10,0,2,8,24,1831
Harrison Barnes,SAS,323,10418,389,201,35,29,26,17,55,10,0,1,2,3,1013
Fred VanVleet,HOU,281,10353,711,296,45,24,35,12,89,3,2,1,2,4,848
Julius Randle,MIN,289,10342,845,318,86,70,102,63,20,2,2,3,1,7,1374
Dejounte Murray,NOP,295,10242,538,219,28,22,20,18,30,1,0,0,3,1,727
Luka Doncic,DAL,285,10230,663,306,28,38,28,24,30,13,0,7,4,3,1828
De'Aaron Fox,SAC,289,10144,771,324,27,21,31,13,107,18,1,3,4,2,1403
Tobias Harris,DET,303,10142,595,340,16,27,42,36,11,0,0,0,3,7,609
Trae Young,ATL,290,10122,502,210,11,16,37,8,100,29,0,5,7,0,1808
Jalen Brunson,NYK,315,10114,611,259,29,32,38,20,150,99,1,1,3,2,1445
Buddy Hield,GSW,339,10113,730,367,17,12,19,7,14,0,1,2,2,1,291
RJ Barrett,TOR,294,9958,693,344,38,13,26,34,45,5,0,0,0,1,1083
Rudy Gobert,MIN,306,9837,854,417,139,187,137,14,38,9,1,1,0,33,1524
Kentavious Caldwell-Pope,ORL,321,9769,602,302,18,24,18,4,127,2,1,2,0,0,529
Devin Booker,PHX,279,9748,782,336,50,21,60,26,56,6,0,3,4,4,1428
Bam Adebayo,MIA,288,9747,728,325,51,102,116,40,24,10,0,0,1,14,1431
Terry Rozier,MIA,286,9675,487,225,12,17,38,13,106,22,0,1,0,3,744
Jaylen Brown,BOS,280,9653,739,292,33,24,67,36,37,6,0,2,0,1,1140
Royce O'Neale,PHX,326,9604,830,446,37,24,29,11,74,2,3,2,3,3,300
Giannis Antetokounmpo,MIL,285,9544,839,312,77,64,119,98,15,7,1,3,6,24,2409
James Harden,LAC,263,9447,538,241,30,22,51,28,26,6,2,2,1,7,1216
Tyrese Haliburton,IND,285,9431,389,195,9,10,14,9,32,1,1,1,2,2,610
Darius Garland,CLE,272,9296,529,217,29,11,43,4,85,17,1,0,2,0,903
Stephen Curry,GSW,275,9275,502,215,19,15,42,17,31,35,2,1,4,2,1060
Russell Westbrook,DEN,306,9247,763,274,35,31,31,36,14,28,2,3,1,1,1002
Jrue Holiday,BOS,283,9216,486,224,13,10,24,9,54,13,0,0,1,1,552
Coby White,CHI,306,9193,680,365,17,17,15,26,81,26,0,0,2,7,685
Donovan Mitchell,CLE,267,9177,622,254,50,8,33,18,37,7,2,6,1,11,1120
Josh Hart,NYK,281,9159,682,326,37,36,15,17,41,11,0,6,1,3,571
Jarrett Allen,CLE,289,9080,524,319,38,107,55,11,55,5,0,2,1,7,1126
Keldon Johnson,SAS,299,9045,605,292,27,24,18,36,30,3,0,0,1,3,776
Dennis Schroder,BKN,293,9011,676,239,19,27,38,13,88,33,0,3,3,1,861
Kyle Kuzma,WAS,280,9008,570,311,34,31,50,52,19,16,0,0,1,4,670
Dorian Finney-Smith,BKN,290,8968,665,315,61,33,25,10,18,2,0,4,0,10,250
CJ McCollum,NOP,262,8954,514,251,23,9,35,4,22,6,0,1,1,3,597
P.J. Washington,DAL,294,8941,723,431,23,32,45,14,30,2,0,0,0,3,517
Gary Trent Jr.,MIL,286,8908,481,191,14,22,34,13,45,2,0,1,3,1,474
Shai Gilgeous-Alexander,OKC,257,8876,637,297,25,13,52,20,37,0,0,0,5,7,1591
Damian Lillard,MIL,247,8863,417,194,16,26,14,20,55,20,0,0,2,0,1447
LeBron James,LAL,250,8852,385,167,25,32,42,30,10,43,0,0,3,3,1185
Tyrese Maxey,PHI,282,8814,559,269,10,18,18,19,24,5,1,0,3,0,748
Saddiq Bey,ATL,292,8804,449,180,30,19,23,17,13,2,2,2,1,5,571
Derrick White,BOS,289,8759,644,369,22,25,17,8,101,62,2,2,2,0,794
Zach LaVine,CHI,249,8735,514,270,22,15,18,32,9,1,1,2,3,4,919
