Name,TeamAbbreviation,GamesPlayed,Minutes,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct
Mikal Bridges,NYK,342,11898,979,31,422,119,23,5,84,0.093572181,0.145067033,0.011982570806100218
Jayson Tatum,BOS,311,11237,2103,122,781,172,84,12,187,0.12273440844869417,0.1830325755800328,0.028832116788321167
Anthony Edwards,MIN,325,11229,1581,44,750,211,15,4,107,0.11642063612844315,0.18350868607780768,0.006038647
DeMar DeRozan,SAC,310,11182,2293,84,1109,289,16,9,122,0.179397225,0.19670095778644908,0.025276461
Nikola Vucevic,CHI,326,10915,625,22,273,85,0,0,71,0.050064185,0.069892473,0
Domantas Sabonis,SAC,308,10856,1621,0,759,201,2,0,147,0.16773198148556315,0.1887120835405271,0.003883495
Pascal Siakam,IND,300,10755,1639,6,810,216,2,1,110,0.14228140879621518,0.1760104302477184,0.001809955
Nikola Jokic,DEN,313,10738,1845,54,738,241,10,2,266,0.12558764271323036,0.14879032258064517,0.010040160642570281
Harrison Barnes,SAS,323,10418,1328,58,588,130,4,0,106,0.16249656310145724,0.267151295,0.002089136
Fred VanVleet,HOU,281,10353,984,101,330,66,29,4,107,0.076334255,0.15,0.011586096683979225
Julius Randle,MIN,289,10342,1794,45,770,212,14,1,190,0.13670444638186574,0.1947395042994436,0.007860752
Dejounte Murray,NOP,295,10242,867,17,374,99,29,12,67,0.074053555,0.095432508,0.018048128
Luka Doncic,DAL,285,10230,2385,54,1045,269,29,4,216,0.1522108843537415,0.23493705035971224,0.011119632
De'Aaron Fox,SAC,289,10144,1776,9,842,210,22,1,115,0.13827398139236446,0.18538088947600176,0.011820331
Tobias Harris,DET,303,10142,804,36,363,97,8,1,60,0.086319218,0.11642078255291853,0.006779661
Trae Young,ATL,290,10122,2292,93,673,132,65,8,413,0.12150768722102827,0.17453319502074688,0.028271773825809393
Jalen Brunson,NYK,315,10114,1403,78,563,189,37,8,152,0.11306818181818182,0.1476140534871526,0.023192360163710776
Buddy Hield,GSW,339,10113,445,93,81,23,32,5,62,0.025474756831866605,0.056328233657858134,0.010069444444444445
RJ Barrett,TOR,294,9958,1494,4,748,155,5,0,66,0.14215593732301302,0.19596541786743515,0.003378378
Rudy Gobert,MIN,306,9837,1623,1,722,164,0,0,170,0.2452445652173913,0.24641638225255974,0
Kentavious Caldwell-Pope,ORL,321,9769,535,80,181,41,13,5,53,0.06733773,0.12719606465214336,0.008916324
Devin Booker,PHX,279,9748,1736,103,669,174,37,7,192,0.11701244813278008,0.15789473684210525,0.020134228187919462
Bam Adebayo,MIA,288,9747,1570,4,741,172,0,0,128,0.16343184825760917,0.168294345,0
Terry Rozier,MIA,286,9675,831,58,284,86,51,13,80,0.067882472,0.10475839173736629,0.022931654676258992
Jaylen Brown,BOS,280,9653,1338,17,628,173,27,3,80,0.11260099707753138,0.16198091307712148,0.013917525773195877
Royce O'Neale,PHX,326,9604,227,0,87,16,0,0,35,0.038891372373714796,0.12700729927007298,0
Giannis Antetokounmpo,MIL,285,9544,3133,1,1534,401,4,0,215,0.23413000456690516,0.26484806629834257,0.005148005
James Harden,LAC,263,9447,1737,72,569,113,146,40,143,0.1640552995391705,0.24233390119250425,0.071787149
Tyrese Haliburton,IND,285,9431,752,59,312,109,14,6,77,0.081806775,0.1455223880597015,0.007604563
Darius Garland,CLE,272,9296,940,62,339,71,15,5,125,0.077157803,0.1158182439357704,0.009030704
Stephen Curry,GSW,275,9275,1374,93,403,120,118,32,159,0.08930408,0.16107114308553158,0.035414165666266505
Russell Westbrook,DEN,306,9247,1366,2,628,138,7,1,110,0.13136119155978485,0.16657824933687002,0.006578947
Jrue Holiday,BOS,283,9216,604,17,244,55,2,0,73,0.063093101,0.10008203445447088,0.001368925
Coby White,CHI,306,9193,634,15,256,63,16,1,64,0.07001287,0.13074565883554648,0.008303062
Donovan Mitchell,CLE,267,9177,1403,57,497,139,62,10,165,0.095581915,0.15037821482602118,0.023487261146496817
Josh Hart,NYK,281,9159,640,4,303,83,5,2,49,0.12106918238993711,0.1854345165238678,0.005494505
Jarrett Allen,CLE,289,9080,1142,0,518,120,0,0,112,0.16878462039752362,0.17135296063513067,0
Keldon Johnson,SAS,299,9045,1045,9,531,155,13,3,45,0.12604263206672844,0.18559944075498078,0.008934708
Dennis Schroder,BKN,293,9011,973,46,352,75,10,1,130,0.098606938,0.14338085539714868,0.007462687
Kyle Kuzma,WAS,280,9008,825,9,397,105,8,2,54,0.087529717,0.13799096280848105,0.004571429
Dorian Finney-Smith,BKN,290,8968,247,0,108,24,1,0,26,0.045721477,0.12217194570135746,0.000666667
CJ McCollum,NOP,262,8954,712,15,315,90,18,4,56,0.067862238,0.11241970021413276,0.008551069
P.J. Washington,DAL,294,8941,595,2,292,70,1,0,38,0.085547445,0.15232133541992696,0.00066313
Gary Trent Jr.,MIL,286,8908,634,41,222,55,35,7,58,0.064089776,0.11116675012518779,0.017386984600099353
Shai Gilgeous-Alexander,OKC,257,8876,2209,102,909,199,12,1,234,0.16220500176118352,0.19666810904370402,0.011363636363636364
Damian Lillard,MIL,247,8863,1877,110,571,111,100,15,237,0.12754229233985934,0.2097722263041881,0.039385585
LeBron James,LAL,250,8852,1427,38,710,247,13,3,85,0.13361670670855663,0.18698972873321043,0.008054523
Tyrese Maxey,PHI,282,8814,988,50,454,141,8,3,73,0.10466696873584051,0.15606737710553456,0.005315615
Saddiq Bey,ATL,292,8804,842,14,395,93,22,5,36,0.11310494834148994,0.21751101321585903,0.011278195488721804
Derrick White,BOS,289,8759,743,18,339,90,11,0,51,0.1025791324736225,0.2002362669816893,0.006399069
Zach LaVine,CHI,249,8735,1279,76,562,138,14,1,89,0.11851851851851852,0.1865250580816462,0.007579859
