Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Mikal Bridges,NYK,342,11898,24063,5792,1447,2606,0.5552570990023024,690,1819,0.3793293018141836,0.3815060908084164,828,1816,1078,1932,138,0.6275051831375259,0.6570188133140377,0.9333333333333333,0.4110734463276836,0.5310677745009075,0.5609039548022599,0.5967908902691511,130,156,0.059861857252494245,10,0.005497526,19.560944858530796
Jayson Tatum,BOS,311,11237,22788,8598,1948,3658,0.5325314379442319,974,2673,0.36438458660680884,0.36479400749063673,1780,1624,2272,1575,1347,0.41683778234086244,0.4344569288389513,0.5390143737166324,0.4222081819617754,0.5169488296694607,0.5384615384615384,0.590359772,158,272,0.074357572,11,0.004115226,31.351435705368292
Anthony Edwards,MIN,325,11229,23186,7527,1798,3548,0.5067643742953777,892,2473,0.3606955115244642,0.36319218241042345,1255,1280,2316,1482,1194,0.3559510567296997,0.36384309266628767,0.5538116591928252,0.4107291147649892,0.5385503082305898,0.5208437136688258,0.5613956274333632,78,239,0.067361894,7,0.00283057,29.148274670863245
DeMar DeRozan,SAC,310,11182,22708,7597,2500,4818,0.518887505,202,626,0.3226837060702875,0.32792207792207795,1991,1262,3738,525,81,0.2524,0.2549494949494949,0.8663366336633663,0.11498897869213813,0.47302016752577325,0.5148787656135194,0.588534334,50,289,0.059983395599833955,6,0.009584665,27.69674690699237
Nikola Vucevic,CHI,326,10915,22191,6269,2056,3718,0.5529854760623991,548,1547,0.35423400129282484,0.3546925566343042,513,2904,1208,1638,6,0.7062256809338522,0.7912806539509537,0.9963503649635036,0.2938271604938272,0.5050814744442333,0.5466286799620133,0.565622737,442,201,0.054061323292092525,2,0.001292825,24.79732757567116
Domantas Sabonis,SAC,308,10856,22377,6012,2142,3464,0.6183602771362586,179,513,0.3489278752436647,0.349609375,1191,2586,1698,519,18,0.603641457,0.6877659574468085,0.9664804469273743,0.1289917022881569,0.5403260437625753,0.6061101332662812,0.6417591801878736,524,265,0.076501155,3,0.005847953,22.55390379020366
Pascal Siakam,IND,300,10755,21816,6697,2163,4008,0.5396706586826348,370,1104,0.3351449275362319,0.33666969972702454,1261,1654,2672,1017,93,0.382339344,0.41144278606965173,0.9162162162162162,0.215962441,0.5018717727717923,0.5316901408450704,0.5752965446106241,306,217,0.054141717,2,0.001811594,26.139437245165716
Nikola Jokic,DEN,313,10738,21914,8290,2826,4463,0.6332063634326686,371,988,0.37550607287449395,0.3844559585492228,1525,3196,2456,987,126,0.5654635527246992,0.6456565656565657,0.8867924528301887,0.18125114657860944,0.4935699133800221,0.620528343,0.662568306,702,266,0.059601165,2,0.002024291,29.530037775701693
Harrison Barnes,SAS,323,10418,21576,4692,960,1743,0.5507745266781411,557,1433,0.3886950453593859,0.38923829489867223,1101,1144,776,1572,99,0.5958333333333333,0.6369710467706013,0.940754039,0.4511964735516373,0.5344586168872086,0.5653337531486146,0.6203258547008547,124,140,0.080321285,1,0.000697837,17.035288270377734
Fred VanVleet,HOU,281,10353,20942,5295,860,1936,0.44421487603305787,904,2478,0.3648103309120258,0.36913025724785625,863,398,1322,1629,1083,0.2313953488372093,0.23439340400471143,0.6006637168141593,0.5613955595831446,0.5039602246675837,0.5020389669234254,0.5419958419958419,22,181,0.093491736,28,0.011299435028248588,22.348769294952024
Julius Randle,MIN,289,10342,20791,6667,1714,3396,0.5047114252061249,614,1768,0.34728506787330315,0.34807256235827666,1397,1302,2126,1461,381,0.3798133022170362,0.4130710659898477,0.7931596091205212,0.3423702556158017,0.5137752083737158,0.5102633617350891,0.56,276,281,0.082744405,3,0.001696833,28.829473684210527
Dejounte Murray,NOP,295,10242,21248,5884,1836,3644,0.5038419319429198,505,1481,0.3409858203916273,0.341446924,697,834,2838,1101,414,0.22712418300653595,0.23179544191217344,0.7267326732673267,0.28897560975609754,0.5062364994142913,0.5060487804878049,0.5351932895696572,74,236,0.064763996,11,0.007427414,25.479259626508018
Luka Doncic,DAL,285,10230,20734,8702,2066,3672,0.5626361655773421,925,2583,0.3581107239643825,0.3611870363139399,1795,570,3562,729,2046,0.13794772507260405,0.14221556886227546,0.2627027027027027,0.41294964028776976,0.4984177455716586,0.5521183053557154,0.5955720572057206,124,187,0.050925926,12,0.004645761,36.574134410704204
De'Aaron Fox,SAC,289,10144,21172,7280,2130,3910,0.5447570332480819,562,1673,0.3359234907352062,0.33672857998801675,1334,816,3444,996,690,0.19154929577464788,0.19419324131366017,0.5907473309608541,0.29965968117499553,0.49537872893510215,0.5325094035464804,0.5728231774523697,58,246,0.062915601,14,0.008368201,30.05044136191677
Tobias Harris,DET,303,10142,20394,5094,1542,2852,0.5406732117812062,437,1173,0.37254901960784315,0.3731853116994022,699,1348,1736,1191,120,0.437094682,0.46450723638869745,0.9084668192219679,0.2914285714285714,0.5182383296047726,0.5459627329192547,0.5813446535107848,182,273,0.0957223,8,0.006820119,21.023525280898877
Trae Young,ATL,290,10122,21297,7554,1621,3315,0.4889894419306184,761,2139,0.3557737260402057,0.35778091208274565,2029,574,2668,669,1614,0.1770512029611351,0.18027638190954773,0.29303547963206306,0.3921892189218922,0.49886740947075203,0.5065089842317565,0.5781129156999226,58,295,0.088989442,25,0.011687705,31.700347854894815
Jalen Brunson,NYK,315,10114,20136,6571,1830,3440,0.5319767441860465,580,1440,0.4027777777777778,0.4030576789437109,1171,808,2852,1122,618,0.22076502732240438,0.2234513274336283,0.6448275862068965,0.29508196721311475,0.491065669,0.5532786885245902,0.5988960441582337,44,183,0.053197674,5,0.003472222,26.233085988651244
Buddy Hield,GSW,339,10113,20982,5131,686,1380,0.4971014492753623,1126,2856,0.3942577030812325,0.39459838653104173,381,710,662,2928,450,0.5174927113702624,0.5486862442040186,0.86678508,0.6742209631728046,0.5349997989117579,0.5606704438149197,0.5767738991558293,78,137,0.099275362,40,0.014005602240896359,20.812397078072877
RJ Barrett,TOR,294,9958,20151,5757,1563,3224,0.4848014888337469,515,1475,0.34915254237288135,0.35010197144799454,1086,1374,1752,1452,93,0.43953934740882916,0.45557029177718833,0.9398058252427185,0.3138965737390934,0.5422853749467405,0.497020643,0.5364534775312325,110,388,0.12034739454094293,18,0.012203389830508475,26.107539958304375
Rudy Gobert,MIN,306,9837,19819,4285,1609,2372,0.6783305227655987,0,14,0,0,1067,2350,868,0,0,0.7302672467371037,0.9430176565008026,0,0.005867561,0.6029570227081581,0.6743503772003353,0.6880218368657675,726,202,0.085160202,1,0.071428571,16.174697450096012
Kentavious Caldwell-Pope,ORL,321,9769,19838,3466,636,1283,0.49571317225253314,576,1450,0.3972413793103448,0.3980649619903248,466,938,334,1602,126,0.7374213836477987,0.7576736672051696,0.9270833333333334,0.5305525064032199,0.5331653465346535,0.5488474204171241,0.5789025221540559,34,68,0.053000779,5,0.003448276,14.749368914532997
Devin Booker,PHX,279,9748,19984,7419,2005,3742,0.5358097274184928,631,1759,0.358726549,0.3595441595441595,1516,1564,2446,1239,654,0.3900249376558603,0.3971559167089893,0.6545166402535658,0.3197600436284312,0.4933548707210487,0.5365388111252499,0.5893374075265359,72,202,0.053981827899518976,18,0.010233087,31.091421667337897
Bam Adebayo,MIA,288,9747,19378,5513,2089,3834,0.5448617631716224,39,131,0.29770992366412213,0.30708661417322836,1218,2534,1644,108,9,0.6065102920057444,0.663003663,0.9230769230769231,0.033039092,0.49825910123706135,0.5416141235813366,0.5908408408408409,356,190,0.049556599,1,0.007633588,24.93727348759409
Terry Rozier,MIA,286,9675,19836,5591,1252,2513,0.4982093115797851,797,2186,0.3645928636779506,0.3659770114942529,696,930,1574,1815,576,0.37140575079872207,0.38461538461538464,0.7590966122961104,0.4652053628431581,0.5222382233610934,0.5208555011704618,0.5525423728813559,86,188,0.074810983,26,0.011893870082342177,24.626465062181268
Jaylen Brown,BOS,280,9653,19768,6858,1899,3422,0.5549386323787259,686,1916,0.35803757828810023,0.358974359,1002,1714,2084,1485,573,0.45129015271195366,0.4690749863163656,0.7215743440233237,0.35893593106032223,0.5182249999999999,0.5485200449606594,0.5805494319145328,144,311,0.090882525,13,0.006784969,30.017168157585616
Royce O'Neale,PHX,326,9604,19460,2594,307,614,0.5,602,1552,0.38788659793814434,0.39090909090909093,174,362,252,1746,60,0.5895765472312704,0.6753731343283582,0.9667774086378738,0.716528163,0.5451455390334572,0.5586334256694367,0.570862676,78,68,0.11074918566775244,7,0.004510309,12.092938163190635
Giannis Antetokounmpo,MIL,285,9544,20024,8583,2906,4659,0.6237389997853616,222,773,0.2871927554980595,0.2886866059817945,2105,2588,3224,288,378,0.4452856159669649,0.4808621330360461,0.43243243243243246,0.14230486008836524,0.5619886338495576,0.5962812960235641,0.632591392,430,316,0.067825714,1,0.001293661,34.70299241
James Harden,LAC,263,9447,18951,5442,936,1892,0.49471458773784355,684,1889,0.3620963472736898,0.3624801271860095,1518,304,1568,750,1302,0.1623931623931624,0.16795580110497238,0.3654970760233918,0.49960327955567313,0.5153303122519186,0.5189103411795821,0.5997547926883638,62,247,0.13054968287526428,13,0.006881948,25.675739644970413
Tyrese Haliburton,IND,285,9431,19668,4920,1075,1941,0.5538382277176713,709,1833,0.3867976,0.3935519733185103,643,638,1512,1167,960,0.29674418604651165,0.3032319391634981,0.5486600846262342,0.48569157392686807,0.5150839142091151,0.56664017,0.5992122107336287,46,152,0.078310149,17,0.009274414,21.31564601126658
Darius Garland,CLE,272,9296,18681,5424,1330,2659,0.5001880406167732,649,1651,0.39309509388249547,0.39344262295081966,817,784,1876,1155,792,0.29473684210526313,0.2985529322162985,0.5932203389830508,0.3830626450116009,0.5111007910656119,0.5344547563805104,0.5693825588796945,34,192,0.072207597,12,0.007268322,26.419234805839135
Stephen Curry,GSW,275,9275,19662,7663,1209,2219,0.5448400180261379,1327,3246,0.40881084411583485,0.4124416796267496,1264,948,1470,2373,1608,0.3920595533498759,0.3986543313708999,0.5960813865862848,0.5939615736505032,0.5106470794824399,0.5854528819762123,0.6324879025529785,40,164,0.073907165,35,0.010782501540357363,31.074702732141237
Russell Westbrook,DEN,306,9247,19589,5048,1586,3280,0.48353658536585364,324,1058,0.30623818525519847,0.3058712121212121,904,756,2416,666,306,0.23833543505674654,0.252,0.6851851851851852,0.24389119409866297,0.5158859432656826,0.47763946519133244,0.5104166666666666,172,295,0.089939024,2,0.001890359,27.403451109285125
Jrue Holiday,BOS,283,9216,19142,4686,1229,2249,0.5464650955980436,579,1459,0.3968471555860178,0.39917127071823205,491,734,1724,966,771,0.2986167615947925,0.31022823330515636,0.5561312607944733,0.3934735706580367,0.5195495798319328,0.5656688241639698,0.587865055,92,159,0.070698088,6,0.004112406,21.534457920907105
Coby White,CHI,306,9193,18780,4453,885,1765,0.5014164305949008,712,1912,0.3723849372384937,0.3753294675803901,547,574,1196,1821,315,0.32429378531073444,0.3276255707762557,0.8525280898876404,0.5199891215664945,0.5362473626673955,0.531139516,0.5621676373765511,18,179,0.10141643059490085,10,0.005230126,21.216440959847947
Donovan Mitchell,CLE,267,9177,18656,7088,1554,2947,0.5273159144893111,927,2463,0.3763702801461632,0.3785218456512862,1199,668,2440,1410,1371,0.21492921492921493,0.22296395193591456,0.5070118662351673,0.45526802218114604,0.5136036304549675,0.5442698706099816,0.587969925,112,205,0.069562267,15,0.006090134,31.95581793944011
Josh Hart,NYK,281,9159,18394,3068,825,1414,0.5834512022630834,308,907,0.3395810363836825,0.3392265193370166,494,880,770,825,99,0.5333333333333333,0.5670103092783505,0.8928571428571429,0.3907798362774666,0.5644413034095813,0.5545023696682464,0.5910142691862708,98,166,0.1173974540311174,2,0.002205072,14.421658657277442
Jarrett Allen,CLE,289,9080,18207,4284,1717,2625,0.6540952380952381,8,46,0.17391304347826086,0.17391304347826086,826,2668,766,21,3,0.7769365171811299,0.911825017,0.875,0.017222014226881317,0.5820460501684762,0.6473230999625609,0.6733731530965106,508,206,0.07847619,0,0,17.59263767833666
Keldon Johnson,SAS,299,9045,18808,4919,1304,2485,0.524748491,506,1445,0.3501730103806228,0.3516330785267547,793,1514,1094,1398,120,0.5805214723926381,0.6276948590381426,0.9209486166007905,0.36768447837150126,0.5335823514409589,0.5249363867684478,0.5631735840403577,196,257,0.103420523,7,0.004844291,22.43749120420322
Dennis Schroder,BKN,293,9011,18284,4169,1034,2178,0.47474747474747475,424,1198,0.35392320534223703,0.3569620253164557,829,596,1472,1026,246,0.28820116054158607,0.2898832684824903,0.8066037735849056,0.35485781990521326,0.5025734830458062,0.4946682464454976,0.544831224,12,246,0.11294765840220386,14,0.011686143572621035,21.520222471581206
Kyle Kuzma,WAS,280,9008,18551,5104,1362,2585,0.5268858800773695,592,1744,0.3394495412844037,0.3406466512702079,604,1388,1336,1488,288,0.5095447870778267,0.5409197194076384,0.8378378378378378,0.40286440286440284,0.5141484665427509,0.5197505197505198,0.5444349497970519,158,175,0.067698259,4,0.002293578,26.02063053900915
Dorian Finney-Smith,BKN,290,8968,17716,2770,457,800,0.57125,560,1499,0.3735823882588392,0.3750837240455459,176,646,268,1638,42,0.7067833698030634,0.8682795698924731,0.975,0.6520226185297956,0.5725897687609075,0.5641583297085689,0.5746887966804979,170,74,0.0925,18,0.012008005,13.459119496855346
CJ McCollum,NOP,262,8954,18240,5591,1275,2577,0.4947613504074505,833,2091,0.3983739837398374,0.3985645933014354,542,790,1760,1746,753,0.30980392156862746,0.31549520766773165,0.6986794717887155,0.44794344473007713,0.501783837,0.5408097686375322,0.5620592383638928,46,182,0.070624757,17,0.008130081,26.479856498763755
P.J. Washington,DAL,294,8941,18510,3816,898,1695,0.5297935103244837,530,1507,0.35169210351692104,0.35333333333333333,430,1366,430,1500,90,0.7605790645879733,0.84217016,0.9433962264150944,0.4706433479075578,0.5382581872260489,0.5287320424734541,0.5506786023678891,174,183,0.1079646017699115,7,0.00464499,18.707238888091478
Gary Trent Jr.,MIL,286,8908,18097,4491,842,1830,0.4601092896174863,761,1985,0.383375315,0.38414941948510856,524,820,864,1905,378,0.48693586698337293,0.4963680387409201,0.8344283837056504,0.5203145478374837,0.5120930015756303,0.5199213630406291,0.5474434611602753,32,116,0.063387978,17,0.008564232,20.697809091786507
Shai Gilgeous-Alexander,OKC,257,8876,18626,7276,2145,3912,0.5483128834355828,359,1045,0.3435406698564593,0.3438697318007663,1909,790,3500,342,735,0.18414918414918416,0.1869380028395646,0.31754874651810583,0.21081299172886828,0.5096714502120784,0.5413556586645148,0.607916103,64,288,0.073619632,8,0.007655502,31.56479569789216
Damian Lillard,MIL,247,8863,18331,6777,1179,2262,0.5212201591511937,900,2454,0.36674816625916873,0.3684426229508197,1719,412,1946,1254,1446,0.17472434266327397,0.17728055077452667,0.46444444444444444,0.5203562340966921,0.5300230201198629,0.5362595419847328,0.6074026918879593,34,209,0.09239611,28,0.011409942950285249,30.359845710658657
LeBron James,LAL,250,8852,18294,6762,1975,3334,0.592381524,582,1604,0.3628428927680798,0.36329588014981273,1066,1574,2376,1053,693,0.39848101265822783,0.4168432203389831,0.6030927835051546,0.3248278655326043,0.53104997,0.576751721,0.6127183406113537,174,194,0.058188362,5,0.003117207,31.372162867411745
Tyrese Maxey,PHI,282,8814,17677,5222,1317,2596,0.5073189522342064,579,1500,0.386,0.3876592890677398,851,1020,1614,1137,600,0.38724373576309795,0.3920061491160646,0.6545768566493955,0.366210938,0.5201321524883551,0.533569336,0.5770002228660575,32,219,0.084360555,11,0.007333333,24.45657668587605
Saddiq Bey,ATL,292,8804,18152,4103,722,1514,0.47688243064729197,650,1846,0.352112676,0.35655512890839275,709,636,808,1797,153,0.4404432132963989,0.5063694267515924,0.9215384615384615,0.549404762,0.5397083258325832,0.5050595238095238,0.5508748317631225,188,177,0.11690885072655217,13,0.007042254,19.274376417233558
Derrick White,BOS,289,8759,17839,4066,770,1444,0.5332409972299169,626,1708,0.3665105386416862,0.3667252489748096,648,688,852,1590,288,0.44675324675324674,0.4673913043478261,0.8466453674121406,0.5418781725888325,0.5199201047286576,0.5421954314720813,0.5846087207623448,68,127,0.087950139,6,0.003512881,19.389443079853624
Zach LaVine,CHI,249,8735,17940,6113,1433,2589,0.5534955581305523,721,1834,0.3931297709923664,0.3933442444080742,1084,1018,1848,1236,927,0.35519888346127004,0.36279401282965074,0.5714285714285714,0.41465069,0.5418238165345413,0.5685055392267692,0.6114366538694685,60,229,0.088451139,9,0.004907306,28.46944459
D'Angelo Russell,LAL,277,8690,18172,4901,963,1909,0.5044525929806182,762,1997,0.3815723585378067,0.38368580060422963,689,638,1288,1527,759,0.3312564901349948,0.3368532206969377,0.6679790026246719,0.5112647209421403,0.5129952429930573,0.5391705069124424,0.5703729767769177,32,102,0.053431116,9,0.00450676,24.240334892883524
Jordan Poole,WAS,307,8681,18283,5456,1083,2088,0.5186781609195402,770,2214,0.34778681120144533,0.3498861047835991,980,944,1222,1638,672,0.4358264081255771,0.4427767354596623,0.7090909090909091,0.5146443514644351,0.5169897963959748,0.5202231520223152,0.569625578,34,216,0.10344827586206896,31,0.014001806684733513,26.924020208956687
Kevin Huerter,SAC,304,8641,17761,3730,745,1334,0.5584707646176912,669,1775,0.37690140845070425,0.37775268210050816,233,896,594,1818,189,0.6013422818791946,0.6292134831460674,0.905829596,0.5709231264072049,0.5265177777777778,0.5623994853650691,0.5736793327154773,66,83,0.062218891,11,0.006197183,17.955412733480618
Jaden McDaniels,MIN,307,8526,17500,3011,815,1410,0.5780141843971631,372,1062,0.3502824858757062,0.35361216730038025,265,1074,556,1098,18,0.6588957055214724,0.7266576454668471,0.9838709677419355,0.42961165048543687,0.5541690495532088,0.555420712,0.5739893211289092,152,111,0.078723404,0,0,15.097699979645837
Chris Paul,SAS,276,8451,17136,3704,1000,1891,0.5288207297726071,385,1053,0.36562203228869894,0.3701923076923077,549,238,1762,582,573,0.119,0.12056737588652482,0.5038961038961038,0.3576766304347826,0.46675987021857923,0.5358355978260869,0.5695611577964519,26,35,0.018508726,7,0.006647673,19.559774671395786
