Name,TeamAbbreviation,GamesPlayed,Minutes,ShotQualityAvg,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimPctBlocked,ShortMidRangeFGM,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShortMidRangePctBlocked,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,LongMidRangePctBlocked,Corner3FGM,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Corner3PctBlocked,Arc3FGM,Arc3FGA,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,Arc3PctBlocked,NonHeaveArc3FGM,NonHeaveArc3FGA,NonHeaveArc3Accuracy,HeaveAttempts,HeaveMakes
Mikal Bridges,NYK,342,11898,0.5310677745009075,0.6352542372881356,7.8034919416730615,24.83177570093458,704,992,0.224180791,0.7096774193548387,0.7652173913043478,0.7301136363636364,0.072580645,572,1175,0.2655367231638418,0.4868085106382979,0.5190562613430127,0.541958042,0.062127659574468086,171,439,0.09920904,0.3895216400911162,0.39953271028037385,0.49122807017543857,0.025056947608200455,361,850,0.192090395,0.42470588235294116,0.42671394799054374,0.9806094182825484,0.004705882,329,969,0.21898305084745762,0.3395252837977296,0.34164070612668745,0.8814589665653495,0.00619195,328,955,0.34345549738219894,13,1
Jayson Tatum,BOS,311,11237,0.5169488296694607,0.6907281630074238,7.22263532,26.093864571642346,1189,1700,0.2685199810456484,0.6994117647058824,0.7612035851472471,0.456686291,0.081176471,459,1191,0.18812193966198074,0.3853904282115869,0.43058161350844276,0.3355119825708061,0.10495382031905962,300,767,0.12114989733059549,0.39113428943937417,0.39577836411609496,0.38333333333333336,0.011734028683181226,110,277,0.043752962,0.3971119133574007,0.3971119133574007,0.7909090909090909,0,864,2396,0.3784552203443374,0.3606010016694491,0.3622641509433962,0.5069444444444444,0.004590985,864,2393,0.3610530714584204,3,0
Anthony Edwards,MIN,325,11229,0.5385503082305898,0.7176548746055472,6.756200676,25.710958350181965,1178,1848,0.30692575984055803,0.6374458874458875,0.6888888888888889,0.3904923599320883,0.074675325,381,1019,0.16924098986879255,0.37389597644749756,0.41323210412147504,0.30708661417322836,0.095191364,239,681,0.11310413552566019,0.3509544787077827,0.35302806499261447,0.26359832635983266,0.005873715,104,295,0.048995183524331506,0.3525423728813559,0.3561643835616438,0.8653846153846154,0.010169491525423728,788,2178,0.3617339312406577,0.36179981634527086,0.3624655013799448,0.5126903553299492,0.001836547,788,2161,0.36464599722350766,17,0
DeMar DeRozan,SAC,310,11182,0.47302016752577325,0.31502571638501103,11.334059775840597,25.54776357827476,715,1089,0.2000367376928729,0.6565656565656566,0.7582184517497349,0.2937062937062937,0.13406795224977044,851,1672,0.3071271124173402,0.5089712918660287,0.5437699680511182,0.1562867215041128,0.063995215,934,2057,0.37784717119764877,0.45405930967428293,0.46214745175655614,0.3083511777301927,0.017501215,74,221,0.040595151,0.334841629,0.3378995433789954,0.9054054054054054,0.009049774,128,405,0.074393828,0.3160493827160494,0.3192019950124688,0.84375,0.009876543,128,395,0.3240506329113924,10,0
Nikola Vucevic,CHI,326,10915,0.5050814744442333,0.5369420702754036,7.786982249,25.86606334841629,865,1280,0.24311490978157646,0.67578125,0.7355442176870748,0.6161849710982659,0.08125,876,1705,0.3238366571699905,0.513782991,0.5437616387337058,0.7465753424657534,0.055131965,315,733,0.1392212725546059,0.4297407912687585,0.4315068493150685,0.8412698412698413,0.004092769,40,107,0.020322886989553656,0.37383177570093457,0.37735849056603776,1,0.009345794,508,1440,0.27350427350427353,0.3527777777777778,0.35302293259207784,0.9960629921259843,0.000694444,508,1438,0.3532684283727399,2,0
Domantas Sabonis,SAC,308,10856,0.5403260437625753,0.6821724918280111,4.499364896073903,25.869590643274854,1566,2200,0.5531807895398542,0.7118181818181818,0.7680235409514468,0.6162196679438059,0.073181818,472,993,0.249685693,0.47532729103726085,0.5297418630751964,0.5233050847457628,0.1027190332326284,104,271,0.068141815,0.3837638376383764,0.38661710037174724,0.7788461538461539,0.007380074,15,45,0.011315062,0.3333333333333333,0.3333333333333333,1,0,164,468,0.11767664068393262,0.3504273504273504,0.35268817204301073,0.9634146341463414,0.006410256,164,467,0.3511777301927195,1,0
Pascal Siakam,IND,300,10755,0.5018717727717923,0.5158450704225352,7.428443113772455,25.587952898550725,1053,1533,0.29988262910798125,0.6868884540117417,0.7307425399028452,0.48148148148148145,0.060013046314416174,827,1779,0.34800469483568075,0.46486790331646993,0.49819277108433735,0.29383313180169285,0.066891512,283,696,0.13615023474178403,0.40660919540229884,0.4101449275362319,0.27208480565371024,0.00862069,110,275,0.053794992175273865,0.4,0.4,1,0,260,829,0.16216744913928013,0.31363088057901084,0.3143893591293833,0.8807692307692307,0.002412545,260,824,0.3155339805825243,5,0
Nikola Jokic,DEN,313,10738,0.4935699133800221,0.5318290221977618,6.1390096347748155,26.730668016194333,1362,1911,0.35057787561915243,0.7127158555729984,0.7643097643097643,0.5286343612334802,0.067503925,1204,2033,0.37295909007521555,0.5922282341367437,0.6343519494204426,0.6021594684385382,0.066404329,260,519,0.095211888,0.5009633911368016,0.5029013539651838,0.5884615384615385,0.003853565,13,38,0.006971198,0.34210526315789475,0.34210526315789475,1,0,358,950,0.1742799486332783,0.37684210526315787,0.37763713080168776,0.882681564,0.002105263,358,927,0.3861920172599784,23,0
Harrison Barnes,SAS,323,10418,0.5344586168872086,0.7515743073047859,4.749569707401033,25.022260990928118,630,954,0.30037783375314864,0.660377358,0.7224770642201835,0.6174603174603175,0.085953878,305,732,0.2304785894206549,0.4166666666666667,0.45185185185185184,0.5475409836065573,0.077868852,25,57,0.017947103274559194,0.43859649122807015,0.44642857142857145,0.64,0.017543859649122806,226,517,0.16278337531486145,0.437137331,0.437984496,0.9867256637168141,0.001934236,331,916,0.2884130982367758,0.361353712,0.361353712,0.9093655589123867,0,331,914,0.36214442013129106,2,0
Fred VanVleet,HOU,281,10353,0.5039602246675837,0.7111463525147259,9.485537190082646,26.72001614205004,351,661,0.14975079293158133,0.5310136157337367,0.6072664359861591,0.21652421652421652,0.12556732223903178,230,644,0.145899411,0.35714285714285715,0.4107142857142857,0.19130434782608696,0.13043478260869565,279,631,0.14295423652016312,0.4421553090332805,0.4521880064829822,0.2831541218637993,0.022187004754358162,121,297,0.067285908,0.4074074074074074,0.4129692832764505,0.9090909090909091,0.013468013468013467,783,2181,0.4941096511101042,0.35900962861072905,0.36300417246175243,0.5530012771392082,0.011004126547455296,783,2152,0.3638475836431227,29,0
Julius Randle,MIN,289,10342,0.5137752083737158,0.6024399690162665,7.992903415783275,25.373868778280542,862,1343,0.26006971340046475,0.6418466120625466,0.7298899237933955,0.4651972157772622,0.12062546537602382,547,1302,0.25213013168086756,0.4201228878648233,0.45735785953177255,0.2522851919561243,0.08141321,305,751,0.14542989930286598,0.40612516644474034,0.4132791327913279,0.36721311475409835,0.017310252996005325,111,300,0.0580945,0.37,0.3712374581939799,0.8378378378378378,0.003333333,503,1468,0.284275755,0.34264305177111715,0.3431105047748977,0.7833001988071571,0.001362398,503,1464,0.3435792349726776,4,0
Dejounte Murray,NOP,295,10242,0.5062364994142913,0.5053658536585366,9.119950603732162,25.408035111411202,690,1109,0.21639024390243902,0.6221821460775473,0.6879361914257228,0.3115942028985507,0.095581605,683,1529,0.29834146341463413,0.44669718770438194,0.4826855123674912,0.1815519765739385,0.074558535,463,1006,0.19629268292682928,0.4602385685884692,0.4676767676767677,0.16846652267818574,0.015904572564612324,132,336,0.065560976,0.39285714285714285,0.39759036144578314,0.9090909090909091,0.011904761904761904,373,1145,0.22341463414634147,0.325764192,0.327768014,0.6621983914209115,0.006113537,373,1143,0.326334208,2,0
