Name,TeamAbbreviation,GamesPlayed,Minutes,Turnovers,LiveBallTurnovers,DeadBallTurnovers,LiveBallTurnoverPct,LostBallTurnovers,LostBallOutOfBoundsTurnovers,BadPassTurnovers,BadPassOutOfBoundsTurnovers,Travels,3SecondViolations,StepOutOfBoundsTurnovers,OffensiveGoaltends
Mikal Bridges,NYK,342,11898,451,297,154,0.6585365853658537,102,38,195,56,18,0,15,0
Jayson Tatum,BOS,311,11237,852,464,388,0.5446009389671361,203,59,261,124,44,2,12,1
Anthony Edwards,MIN,325,11229,922,540,382,0.5856832971800434,253,68,287,141,63,2,14,2
DeMar DeRozan,SAC,310,11182,622,404,218,0.6495176848874598,156,48,248,63,40,0,10,0
Nikola Vucevic,CHI,326,10915,565,320,245,0.5663716814159292,148,21,172,75,34,9,7,3
Domantas Sabonis,SAC,308,10856,983,501,482,0.5096642929806714,260,74,241,107,72,15,5,1
Pascal Siakam,IND,300,10755,659,355,304,0.5386949924127465,142,41,213,74,47,0,9,1
Nikola Jokic,DEN,313,10738,1058,716,342,0.6767485822306238,257,42,459,165,26,6,3,4
Harrison Barnes,SAS,323,10418,373,225,148,0.6032171581769437,106,28,119,45,26,1,2,1
Fred VanVleet,HOU,281,10353,557,382,175,0.6858168761220825,116,31,266,68,15,0,12,0
Julius Randle,MIN,289,10342,923,450,473,0.4875406283856988,231,68,219,140,74,5,8,1
Dejounte Murray,NOP,295,10242,684,474,210,0.6929824561403509,153,49,321,79,14,0,14,0
Luka Doncic,DAL,285,10230,1151,843,308,0.7324066029539531,237,40,606,144,39,0,11,0
De'Aaron Fox,SAC,289,10144,803,560,243,0.6973848069738481,240,63,320,92,24,0,11,0
Tobias Harris,DET,303,10142,436,235,201,0.5389908256880734,113,32,122,40,29,1,15,1
Trae Young,ATL,290,10122,1210,901,309,0.7446280991735538,169,42,732,165,30,0,6,0
Jalen Brunson,NYK,315,10114,586,378,208,0.6450511945392492,125,41,253,74,20,0,7,0
Buddy Hield,GSW,339,10113,553,375,178,0.6781193490054249,124,32,251,65,39,0,8,0
RJ Barrett,TOR,294,9958,648,392,256,0.6049382716049383,140,42,252,84,37,0,21,2
Rudy Gobert,MIN,306,9837,513,212,301,0.41325536062378165,132,26,80,39,39,24,8,8
Kentavious Caldwell-Pope,ORL,321,9769,343,202,141,0.5889212827988338,54,37,148,56,14,0,8,0
Devin Booker,PHX,279,9748,748,436,312,0.5828877005347594,144,57,292,104,43,0,5,0
Bam Adebayo,MIA,288,9747,708,329,379,0.4646892655367232,149,35,180,108,45,5,10,10
Terry Rozier,MIA,286,9675,495,300,195,0.6060606060606061,91,34,209,59,18,0,20,0
Jaylen Brown,BOS,280,9653,748,401,347,0.536096257,202,77,199,74,60,1,20,0
Royce O'Neale,PHX,326,9604,373,208,165,0.5576407506702413,41,19,167,63,23,1,8,1
Giannis Antetokounmpo,MIL,285,9544,990,439,551,0.44343434343434346,215,57,224,90,124,10,20,5
James Harden,LAC,263,9447,942,646,296,0.6857749469214437,205,35,441,132,27,0,12,0
Tyrese Haliburton,IND,285,9431,640,431,209,0.6734375,89,23,342,89,28,0,23,1
Darius Garland,CLE,272,9296,841,520,321,0.6183115338882283,157,47,363,113,56,1,38,0
Stephen Curry,GSW,275,9275,869,544,325,0.6260069044879172,159,47,385,122,53,0,26,1
Russell Westbrook,DEN,306,9247,1059,684,375,0.6458923512747875,160,69,524,174,34,0,18,3
Jrue Holiday,BOS,283,9216,662,437,225,0.6601208459214502,150,40,287,98,29,0,11,0
Coby White,CHI,306,9193,520,307,213,0.5903846153846154,118,36,189,61,44,0,19,0
Donovan Mitchell,CLE,267,9177,734,491,243,0.6689373297002725,210,50,281,100,25,0,3,1
Josh Hart,NYK,281,9159,439,275,164,0.6264236902050114,86,21,189,67,25,0,13,3
Jarrett Allen,CLE,289,9080,434,234,200,0.5391705069124424,94,21,140,64,30,8,4,4
Keldon Johnson,SAS,299,9045,422,244,178,0.5781990521327014,104,37,140,45,20,0,12,1
Dennis Schroder,BKN,293,9011,624,395,229,0.6330128205128205,112,37,283,106,16,0,10,0
Kyle Kuzma,WAS,280,9008,693,348,345,0.5021645021645021,148,55,200,68,72,1,26,5
Dorian Finney-Smith,BKN,290,8968,265,151,114,0.569811321,34,8,117,25,21,0,16,4
CJ McCollum,NOP,262,8954,502,312,190,0.6215139442231076,101,21,211,75,24,0,23,0
P.J. Washington,DAL,294,8941,447,272,175,0.6085011185682326,108,18,164,58,26,1,12,0
Gary Trent Jr.,MIL,286,8908,229,111,118,0.4847161572052402,45,20,66,24,14,0,8,0
Shai Gilgeous-Alexander,OKC,257,8876,676,449,227,0.6642011834319527,194,25,255,66,41,1,5,1
Damian Lillard,MIL,247,8863,730,510,220,0.6986301369863014,115,23,395,128,16,0,5,0
LeBron James,LAL,250,8852,880,564,316,0.6409090909090909,156,40,408,136,45,0,12,2
Tyrese Maxey,PHI,282,8814,356,189,167,0.5308988764044944,61,26,128,54,24,0,14,0
Saddiq Bey,ATL,292,8804,281,120,161,0.42704626334519574,29,16,91,21,52,0,28,1
Derrick White,BOS,289,8759,405,257,148,0.6345679012345679,78,20,179,65,19,0,10,2
Zach LaVine,CHI,249,8735,682,407,275,0.5967741935483871,174,56,233,85,58,0,17,0
D'Angelo Russell,LAL,277,8690,660,427,233,0.646969697,116,21,311,139,15,0,9,0
Jordan Poole,WAS,307,8681,746,390,356,0.5227882037533512,149,75,241,98,67,1,16,0
Kevin Huerter,SAC,304,8641,341,204,137,0.5982404692082112,55,16,149,47,30,0,11,0
Jaden McDaniels,MIN,307,8526,345,185,160,0.5362318840579711,65,20,120,33,39,0,24,3
Chris Paul,SAS,276,8451,542,385,157,0.7103321033210332,82,24,303,74,16,0,10,0
Aaron Gordon,DEN,277,8438,449,240,209,0.534521158,92,25,148,48,24,5,16,6
Jimmy Butler,MIA,250,8402,456,276,180,0.6052631578947368,83,31,193,67,19,1,4,1
Luguentz Dort,OKC,279,8400,344,161,183,0.4680232558139535,72,30,89,44,19,1,15,1
Andrew Wiggins,GSW,272,8377,394,214,180,0.5431472081218274,86,46,128,37,22,1,19,0
Jonas Valanciunas,WAS,319,8336,588,264,324,0.4489795918367347,136,18,128,39,38,24,1,11
Malik Beasley,DET,301,8332,275,165,110,0.6,74,24,91,32,10,0,13,0
Tyler Herro,MIA,251,8293,581,364,217,0.6265060240963856,125,29,239,89,33,0,21,0
Mike Conley,MIN,285,8262,454,326,128,0.7180616740088106,62,24,264,67,9,0,6,0
Ivica Zubac,LAC,317,8236,441,208,233,0.47165532879818595,104,14,104,32,29,26,7,8
Franz Wagner,ORL,256,8204,484,288,196,0.5950413223140496,116,42,172,46,32,0,12,1
Brandon Ingram,NOP,243,8198,684,408,276,0.5964912280701754,178,41,230,78,30,1,15,1
John Collins,UTA,278,8176,373,187,186,0.5013404825737265,88,27,99,34,36,3,1,3
Deandre Ayton,POR,266,8160,444,225,219,0.5067567567567568,149,17,76,22,36,19,7,11
Deni Avdija,POR,311,8156,451,287,164,0.6363636363636364,94,19,193,56,27,0,4,1
Isaac Okoro,CLE,300,8132,247,127,120,0.5141700404858299,55,21,72,30,11,0,20,0
Kevin Durant,PHX,225,8131,754,510,244,0.6763925729442971,186,58,324,78,20,0,25,0
Jalen Green,HOU,249,8124,589,383,206,0.6502546689303905,173,60,210,50,31,0,12,2
Clint Capela,ATL,300,8121,264,107,157,0.4053030303030303,53,16,54,20,24,12,8,8
Jerami Grant,POR,240,8119,457,265,192,0.5798687089715536,114,29,151,48,25,0,6,1
Tim Hardaway Jr.,DET,284,8115,240,144,96,0.6,61,17,83,26,7,0,8,0
OG Anunoby,NYK,231,8089,397,202,195,0.5088161209068011,71,31,131,34,39,0,9,0
Dillon Brooks,HOU,268,8066,385,216,169,0.561038961,89,30,127,37,35,0,5,1
Kyrie Irving,DAL,223,8020,485,306,179,0.6309278350515464,114,35,192,86,17,0,11,0
Grayson Allen,PHX,282,8002,281,183,98,0.6512455516014235,38,9,145,28,23,0,12,0
Anthony Davis,LAL,231,7984,483,250,233,0.5175983436853002,134,49,116,55,28,9,9,6
Kelly Oubre Jr.,PHI,269,7981,317,179,138,0.5646687697160884,91,35,88,28,12,0,19,0
Jordan Clarkson,UTA,276,7967,602,360,242,0.5980066445182725,160,44,200,69,54,0,14,0
Caris LeVert,CLE,266,7926,468,303,165,0.6474358974358975,108,28,195,60,28,0,17,1
Lauri Markkanen,UTA,251,7859,336,202,134,0.6011904761904762,107,14,95,26,14,4,2,3
Karl-Anthony Towns,NYK,236,7856,693,294,399,0.42424242424242425,101,22,193,93,48,7,9,2
Scottie Barnes,TOR,224,7831,503,287,216,0.5705765407554672,71,23,216,99,33,2,4,1
Terance Mann,LAC,327,7808,264,160,104,0.6060606060606061,70,13,90,17,11,1,10,0
Norman Powell,LAC,268,7807,393,228,165,0.5801526717557252,118,31,110,44,24,1,21,0
Jakob Poeltl,TOR,282,7793,447,220,227,0.49217002237136465,82,19,138,53,19,12,4,2
Bobby Portis,MIL,312,7751,346,154,192,0.44508670520231214,91,22,63,22,42,5,18,4
Brook Lopez,MIL,263,7739,288,114,174,0.3958333333333333,54,7,60,18,31,10,1,1
Bojan Bogdanovic,NYK,257,7718,482,305,177,0.6327800829875518,148,36,157,50,23,1,17,0
Paul George,PHI,227,7706,667,408,259,0.6116941529235382,136,32,272,116,18,0,5,1
Draymond Green,GSW,258,7697,714,394,320,0.5518207282913166,38,19,356,184,18,1,3,0
Miles Bridges,CHA,226,7681,408,218,190,0.5343137254901961,90,28,128,80,21,0,7,2
Grant Williams,CHA,311,7666,337,161,176,0.47774480712166173,67,25,94,32,24,1,15,1
Donte DiVincenzo,MIN,284,7653,426,252,174,0.5915492957746479,75,24,177,72,17,0,13,1
Joel Embiid,PHI,229,7634,767,414,353,0.5397653194263363,242,51,172,112,48,2,2,0
Desmond Bane,MEM,261,7550,448,226,222,0.5044642857142857,80,38,146,38,55,0,20,0
Bradley Beal,PHX,218,7527,632,389,243,0.615506329,145,53,244,80,21,0,21,0
Kyle Lowry,PHI,240,7492,495,322,173,0.6505050505050505,56,16,266,77,23,0,15,0
Reggie Jackson,PHI,302,7473,475,296,179,0.6231578947368421,64,20,232,71,23,0,8,1
Immanuel Quickley,TOR,294,7442,362,190,172,0.5248618784530387,63,16,127,68,38,0,11,0
Kyle Anderson,GSW,308,7432,361,207,154,0.5734072022160664,59,20,148,50,29,2,4,0
Spencer Dinwiddie,DAL,247,7392,358,194,164,0.5418994413407822,37,18,157,69,18,0,7,0
Tyus Jones,PHX,312,7386,257,186,71,0.7237354085603113,32,6,154,40,4,0,3,0
Duncan Robinson,MIA,282,7379,281,141,140,0.501779359,29,19,112,34,30,0,14,0
Bruce Brown,TOR,284,7370,319,180,139,0.5642633228840125,71,34,109,36,23,0,12,1
Myles Turner,IND,251,7326,392,163,229,0.41581632653061223,72,19,91,27,25,12,8,1
Michael Porter Jr.,DEN,235,7325,277,157,120,0.5667870036101083,74,17,83,20,32,1,13,3
Bogdan Bogdanovic,ATL,250,7317,319,216,103,0.677115987,62,17,154,33,22,0,6,0
Evan Mobley,CLE,222,7314,421,225,196,0.5344418052256532,126,41,99,26,51,4,15,3
Anfernee Simons,POR,250,7174,463,293,170,0.6328293736501079,117,27,176,57,24,0,8,0
Ayo Dosunmu,CHI,258,7167,343,198,145,0.577259475,66,27,132,43,29,0,14,0
Malik Monk,SAC,285,7120,494,311,183,0.6295546558704453,74,30,237,81,24,0,3,0
Nicolas Batum,LAC,289,6985,192,127,65,0.6614583333333334,17,2,110,29,11,0,4,0
Al Horford,BOS,243,6960,198,102,96,0.5151515151515151,29,9,73,24,12,2,3,0
Cole Anthony,ORL,276,6952,521,347,174,0.6660268714011516,126,36,221,71,18,0,14,0
Jaren Jackson Jr.,MEM,241,6941,461,217,244,0.47071583514099785,126,29,91,25,25,6,9,1
Herbert Jones,NOP,227,6826,292,131,161,0.4486301369863014,50,16,81,44,34,0,11,2
Kristaps Porzingis,BOS,221,6760,362,192,170,0.5303867403314917,88,15,104,37,16,7,0,9
Marcus Smart,MEM,215,6759,491,301,190,0.6130346232179226,79,16,222,88,17,1,12,0
Josh Giddey,CHI,235,6758,615,411,204,0.6682926829268293,136,23,275,97,31,0,5,2
Georges Niang,CLE,333,6749,261,143,118,0.5478927203065134,49,11,94,31,21,0,10,0
Khris Middleton,MIL,224,6741,567,353,214,0.6225749559082893,117,48,236,82,21,0,15,0
Cameron Johnson,BKN,249,6721,204,135,69,0.6617647058823529,46,16,89,21,9,0,7,0
Isaiah Stewart,DET,260,6652,314,110,204,0.3503184713375796,57,24,53,14,28,21,14,3
Wendell Carter Jr.,ORL,241,6651,380,152,228,0.4,71,33,81,43,32,6,6,3
Rui Hachimura,LAL,249,6649,212,104,108,0.49056603773584906,56,24,48,15,23,0,5,2
Pat Connaughton,MIL,286,6640,161,103,58,0.639751553,28,6,75,26,2,0,5,0
Devin Vassell,SAS,248,6635,260,161,99,0.6192307692307693,49,15,112,38,14,1,15,0
Reggie Bullock Jr.,HOU,255,6633,132,78,54,0.5909090909090909,10,8,68,14,3,0,10,0
Caleb Martin,PHI,268,6607,276,137,139,0.4963768115942029,57,20,80,31,28,1,16,2
Max Strus,CLE,257,6605,247,148,99,0.5991902834008097,39,19,109,21,10,0,24,0
Ja Morant,MEM,204,6602,684,442,242,0.6461988304093568,134,31,308,107,52,0,13,2
Eric Gordon,PHI,237,6580,348,194,154,0.5574712643678161,66,28,128,55,30,0,8,0
Austin Reaves,LAL,226,6531,356,240,116,0.6741573033707865,75,25,165,38,20,0,5,1
Corey Kispert,WAS,250,6487,224,115,109,0.5133928571428571,53,16,62,18,26,1,15,0
LaMelo Ball,CHA,202,6484,683,370,313,0.541727672,85,35,285,122,46,0,34,1
Kelly Olynyk,TOR,257,6476,505,259,246,0.5128712871287129,85,22,174,70,45,5,6,0
De'Andre Hunter,ATL,214,6450,279,150,129,0.5376344086021505,89,22,61,17,22,0,17,0
Alperen Sengun,HOU,234,6449,552,303,249,0.5489130434782609,141,23,162,61,49,11,0,4
Mason Plumlee,PHX,276,6416,378,216,162,0.5714285714285714,82,11,134,42,14,8,2,5
Nic Claxton,BKN,244,6409,266,100,166,0.37593984962406013,50,17,50,15,23,9,6,5
Kevon Looney,GSW,320,6394,213,95,118,0.4460093896713615,39,12,56,16,7,4,2,2
Naz Reid,MIN,319,6345,382,186,196,0.4869109947643979,107,26,79,48,40,3,9,0
Patrick Williams,CHI,228,6336,301,138,163,0.4584717607973422,67,29,71,29,37,0,19,1
Jusuf Nurkic,PHX,237,6314,547,293,254,0.5356489945155393,118,25,175,51,19,5,2,3
Jamal Murray,DEN,189,6311,409,273,136,0.6674816625916871,82,21,191,66,19,0,4,0
Collin Sexton,UTA,220,6293,502,284,218,0.5657370517928287,129,41,155,50,41,2,17,0
Alex Caruso,OKC,252,6276,324,231,93,0.7129629629629629,61,10,170,54,7,0,2,0
Malcolm Brogdon,WAS,207,6215,364,236,128,0.6483516483516484,75,23,161,49,13,0,7,0
Josh Richardson,MIA,240,6176,275,156,119,0.5672727272727273,44,16,112,30,27,0,13,0
Daniel Gafford,DAL,301,6139,287,134,153,0.46689895470383275,82,11,52,33,9,6,5,3
Jeff Green,HOU,284,6122,219,77,142,0.3515981735159817,25,19,52,25,18,1,19,0
KJ Martin,PHI,285,6122,228,99,129,0.4342105263157895,42,25,57,24,16,0,9,3
Alec Burks,MIA,259,6087,248,152,96,0.6129032258064516,43,18,109,32,14,0,3,0
Klay Thompson,DAL,198,6055,305,165,140,0.5409836065573771,47,17,118,39,33,0,18,0
Christian Wood,LAL,226,6030,377,173,204,0.4588859416445623,83,25,90,44,38,2,2,3
Taurean Prince,MIL,265,6005,268,144,124,0.5373134328358209,48,13,96,46,31,0,7,1
De'Anthony Melton,GSW,246,5996,329,216,113,0.6565349544072948,68,22,148,27,18,0,10,1
Seth Curry,CHA,249,5884,252,136,116,0.5396825396825397,38,13,98,29,29,0,12,0
Gordon Hayward,OKC,194,5882,336,182,154,0.5416666666666666,82,21,100,56,26,0,5,0
Keegan Murray,SAC,182,5881,151,85,66,0.5629139072847682,34,10,51,23,14,1,3,1
Jae'Sean Tate,HOU,254,5867,327,164,163,0.5015290519877675,72,19,92,38,37,1,4,2
Kawhi Leonard,LAC,172,5850,312,180,132,0.5769230769230769,85,20,95,31,33,1,7,1
Nickeil Alexander-Walker,MIN,275,5830,327,217,110,0.6636085626911316,41,23,176,44,19,0,2,0
Monte Morris,PHX,235,5821,187,130,57,0.6951871657754011,25,10,105,24,6,0,5,0
Justin Holiday,DEN,249,5808,160,113,47,0.70625,32,7,81,21,7,0,2,0
Cedi Osman,SAS,274,5789,245,152,93,0.6204081632653061,55,14,97,33,13,0,6,0
Chris Boucher,TOR,289,5784,173,77,96,0.44508670520231214,46,13,31,10,21,3,10,1
T.J. McConnell,IND,266,5746,454,277,177,0.6101321585903083,74,34,203,77,29,0,22,0
P.J. Tucker,LAC,229,5743,158,55,103,0.34810126582278483,12,8,43,18,11,1,10,0
Luke Kennard,MEM,245,5742,218,134,84,0.6146788990825688,44,13,90,38,8,0,6,0
Marcus Morris Sr.,CLE,225,5708,212,116,96,0.5471698113207547,49,9,67,22,23,1,5,0
Tre Jones,SAS,259,5679,290,192,98,0.6620689655172414,47,13,145,51,10,0,4,2
Matisse Thybulle,POR,267,5671,135,80,55,0.5925925925925926,17,12,63,21,4,0,3,0
Jabari Smith Jr.,HOU,179,5594,208,130,78,0.625,60,10,70,14,17,0,6,2
Patrick Beverley,MIL,235,5587,232,135,97,0.5818965517241379,19,8,116,32,21,0,9,0
Gary Harris,ORL,219,5574,164,84,80,0.5121951219512195,23,12,61,17,16,0,14,1
Isaiah Hartenstein,OKC,279,5536,303,125,178,0.41254125412541254,32,15,93,55,20,3,1,7
Derrick Jones Jr.,LAC,274,5519,179,84,95,0.4692737430167598,38,20,46,16,16,0,5,0
Jarred Vanderbilt,LAL,245,5481,251,126,125,0.501992032,61,20,65,32,14,2,12,5
Killian Hayes,DET,210,5478,418,251,167,0.6004784688995215,68,21,183,70,28,0,10,0
Devonte' Graham,SAS,227,5472,259,166,93,0.640926641,38,15,128,54,6,0,5,0
Torrey Craig,CHI,266,5462,197,105,92,0.5329949238578681,37,14,68,29,16,0,5,0
Delon Wright,MIL,255,5451,193,123,70,0.6373056994818653,56,12,67,32,13,0,3,0
Robert Covington,PHI,218,5449,182,85,97,0.46703296703296704,23,3,62,34,19,0,4,0
Lonnie Walker IV,BKN,244,5442,233,124,109,0.5321888412017167,48,8,76,27,29,0,21,0
Payton Pritchard,BOS,291,5414,220,131,89,0.5954545454545455,43,5,88,21,28,2,20,0
Paolo Banchero,ORL,157,5411,458,282,176,0.6157205240174672,139,34,143,56,33,1,5,0
Trey Murphy III,NOP,210,5400,130,64,66,0.49230769230769234,19,18,45,21,6,0,4,0
Onyeka Okongwu,ATL,256,5398,220,88,132,0.4,41,13,47,16,15,3,4,3
Zion Williamson,NOP,166,5376,481,250,231,0.5197505197505198,125,52,125,49,22,0,15,2
Talen Horton-Tucker,CHI,260,5345,389,224,165,0.5758354755784062,73,24,151,41,26,0,7,0
Jalen Suggs,ORL,201,5329,438,268,170,0.6118721461187214,92,27,176,52,22,0,14,0
Cade Cunningham,DET,159,5316,583,403,180,0.6912521440823327,144,25,259,65,19,0,15,1
Davion Mitchell,TOR,251,5286,267,174,93,0.651685393,50,12,124,39,17,0,5,0
Precious Achiuwa,NYK,265,5266,272,120,152,0.4411764705882353,62,22,58,17,29,4,4,1
Andre Drummond,PHI,284,5259,428,173,255,0.40420560747663553,67,28,106,47,27,16,5,12
Jaden Ivey,DET,175,5254,502,314,188,0.6254980079681275,110,32,204,64,31,1,12,0
Jalen Williams,OKC,169,5230,295,159,136,0.5389830508474577,80,23,79,45,24,0,8,2
Joe Ingles,MIN,233,5228,286,193,93,0.6748251748251748,42,11,151,34,9,0,7,0
Doug McDermott,SAC,264,5216,184,104,80,0.5652173913043478,28,11,76,15,13,0,12,1
Dwight Powell,DAL,297,5211,205,65,140,0.3170731707317073,36,13,29,24,10,2,4,1
Kevin Porter Jr.,LAC,168,5196,521,355,166,0.6813819577735125,131,25,224,82,17,1,5,0
Aaron Nesmith,IND,249,5190,198,93,105,0.4696969696969697,25,13,68,25,22,0,11,1
Obi Toppin,IND,307,5176,203,90,113,0.4433497536945813,31,15,59,21,13,1,11,2
Patty Mills,UTA,230,5150,193,119,74,0.616580311,31,12,88,31,6,0,9,0
Josh Green,CHA,245,5135,212,122,90,0.5754716981132075,35,14,87,24,7,0,4,0
Shake Milton,BKN,262,5115,285,158,127,0.5543859649122806,47,23,111,36,16,0,14,0
Jae Crowder,SAC,200,5113,142,80,62,0.5633802816901409,12,6,68,25,4,0,1,0
Mitchell Robinson,NYK,193,5058,152,63,89,0.4144736842105263,43,11,20,5,4,12,2,7
Jonathan Kuminga,GSW,232,5042,323,154,169,0.47678018575851394,63,28,91,44,29,2,7,1
Drew Eubanks,UTA,298,5023,269,110,159,0.40892193308550184,42,12,68,27,20,3,3,7
Will Barton,TOR,183,5005,271,171,100,0.6309963099630996,64,20,107,33,13,0,8,1
Naji Marshall,DAL,250,4966,275,141,134,0.5127272727272727,37,15,104,52,23,0,8,0
Cameron Payne,NYK,261,4932,320,195,125,0.609375,42,18,153,43,18,0,17,0
Kenrich Williams,OKC,250,4901,188,117,71,0.6223404255319149,49,13,68,20,6,1,1,0
Larry Nance Jr.,ATL,217,4893,187,95,92,0.5080213903743316,33,4,62,29,12,0,0,4
Steven Adams,HOU,189,4882,288,145,143,0.5034722222222222,43,14,102,42,6,7,1,1
Maxi Kleber,DAL,203,4829,142,72,70,0.5070422535211268,30,6,42,11,10,1,6,0
Garrison Mathews,ATL,268,4772,99,55,44,0.5555555555555556,16,7,39,10,11,0,2,0
Cam Thomas,BKN,207,4766,290,168,122,0.5793103448275863,81,18,87,17,41,0,13,0
Moritz Wagner,ORL,271,4704,307,123,184,0.4006514657980456,64,18,59,23,34,2,6,0
John Konchar,MEM,254,4688,136,96,40,0.7058823529411765,27,6,69,20,4,0,0,2
Gabe Vincent,LAL,221,4674,240,144,96,0.6,37,10,107,38,7,0,10,0
Evan Fournier,DET,181,4656,221,147,74,0.665158371,55,20,92,20,9,0,4,0
Trey Lyles,SAC,248,4653,191,92,99,0.4816753926701571,23,18,69,28,11,0,9,0
Amir Coffey,LAC,257,4623,131,74,57,0.5648854961832062,29,14,45,14,7,0,5,0
Cory Joseph,ORL,229,4615,234,144,90,0.6153846153846154,47,13,97,34,3,0,6,0
Kevin Love,MIA,228,4595,262,165,97,0.6297709923664122,37,7,128,42,14,2,2,1
Bennedict Mathurin,IND,162,4579,302,152,150,0.5033112582781457,75,25,77,38,22,0,7,0
Dean Wade,CLE,229,4567,88,55,33,0.625,20,9,35,10,4,0,4,0
Jevon Carter,CHI,290,4489,168,92,76,0.5476190476190477,22,13,70,28,13,0,10,0
Aaron Holiday,HOU,284,4445,227,144,83,0.6343612334801763,39,15,105,27,15,1,6,0
Marvin Bagley III,WAS,199,4437,213,75,138,0.352112676,33,20,42,16,30,2,4,4
Darius Bazley,UTA,176,4406,247,161,86,0.6518218623481782,74,22,87,21,19,0,5,1
Quentin Grimes,DAL,190,4382,151,83,68,0.5496688741721855,27,9,56,15,21,0,11,0
Landry Shamet,WAS,216,4373,155,101,54,0.6516129032258065,27,10,74,16,7,0,6,1
Santi Aldama,MEM,195,4331,177,88,89,0.4971751412429379,36,12,52,28,24,1,0,0
Brandon Clarke,MEM,209,4330,135,55,80,0.4074074074074074,29,7,26,10,12,3,0,1
Isaiah Joe,OKC,268,4289,126,75,51,0.5952380952380952,24,9,51,22,3,0,7,0
Troy Brown Jr.,DET,235,4264,126,76,50,0.6031746031746031,21,7,55,17,3,0,9,0
Joe Harris,DET,173,4261,123,71,52,0.5772357723577236,12,2,59,19,8,0,6,0
Jalen McDaniels,TOR,232,4249,204,109,95,0.5343137254901961,46,21,63,14,20,1,6,0
Cody Martin,CHA,182,4230,172,105,67,0.6104651162790697,41,12,64,29,7,0,9,0
Josh Okogie,PHX,253,4217,175,97,78,0.5542857142857143,28,10,69,23,19,0,10,0
Aaron Wiggins,OKC,221,4214,185,109,76,0.5891891891891892,44,15,65,25,17,0,5,0
Mo Bamba,LAC,233,4193,189,77,112,0.4074074074074074,34,13,43,21,7,6,3,4
Terrence Ross,PHX,172,4125,192,125,67,0.6510416666666666,35,10,90,14,11,0,8,0
Xavier Tillman Sr.,BOS,242,4080,162,85,77,0.5246913580246914,35,7,50,15,9,0,7,0
Cam Reddish,LAL,180,4075,176,109,67,0.6193181818181818,65,17,44,15,11,0,10,0
Andrew Nembhard,IND,154,4043,244,161,83,0.6598360655737705,47,9,114,29,17,0,2,0
Jaxson Hayes,LAL,258,4040,175,72,103,0.4114285714285714,25,5,47,15,4,1,7,2
Jalen Duren,DET,151,4000,266,126,140,0.47368421052631576,48,16,78,27,5,4,1,3
Jeremy Sochan,SAS,141,3958,256,133,123,0.51953125,51,20,82,37,18,0,11,0
Daniel Theis,NOP,196,3944,168,79,89,0.47023809523809523,29,2,50,18,16,3,2,0
Montrezl Harrell,PHI,197,3902,180,102,78,0.5666666666666667,56,8,46,23,6,0,0,1
Jalen Johnson,ATL,171,3887,228,123,105,0.5394736842105263,33,9,90,32,30,0,5,0
Damion Lee,PHX,198,3879,149,70,79,0.4697986577181208,32,9,38,13,20,0,4,0
Robert Williams III,POR,161,3863,163,76,87,0.4662576687116564,23,7,53,29,4,3,1,10
Tre Mann,CHA,181,3857,223,139,84,0.6233183856502242,60,15,79,26,12,0,10,0
Chuma Okeke,ORL,189,3831,128,75,53,0.5859375,23,5,52,20,10,0,11,0
Zach Collins,SAS,184,3809,327,155,172,0.4740061162079511,63,9,92,49,21,1,4,3
Oshae Brissett,BOS,208,3796,118,58,60,0.4915254237288136,24,12,34,12,8,0,6,2
Richaun Holmes,WAS,191,3778,171,74,97,0.4327485380116959,34,6,40,13,6,8,2,6
Ben Simmons,BKN,133,3767,341,185,156,0.5425219941348973,55,16,130,48,19,2,0,2
Theo Maledon,PHX,177,3753,283,159,124,0.5618374558303887,52,9,107,54,34,0,9,0
Thaddeus Young,PHX,207,3732,246,166,80,0.6747967479674797,54,12,112,35,13,1,0,0
Jalen Smith,CHI,229,3730,179,75,104,0.41899441340782123,38,16,37,15,12,4,7,1
Walker Kessler,UTA,155,3691,149,63,86,0.4228187919463087,32,8,31,8,4,6,3,5
Nick Richards,CHA,209,3647,176,59,117,0.3352272727272727,29,12,30,10,6,2,1,4
Sam Hauser,BOS,205,3631,72,49,23,0.6805555555555556,22,2,27,8,3,0,3,0
Christian Braun,DEN,180,3610,122,68,54,0.5573770491803278,29,0,39,6,15,1,5,1
Ochai Agbaji,TOR,161,3590,127,53,74,0.41732283464566927,19,15,34,13,13,0,5,0
Danilo Gallinari,MIL,166,3523,104,62,42,0.5961538461538461,31,9,31,5,11,1,0,0
